ProductionID,ProductID,ProductionDate,PlannedQuantity,ActualQuantity,ProductionCost,DowntimeMinutes,QualityDefects
63,250,13/03/24,414,426,10120.43,41,25
64,264,06/12/22,313,312,11683.22,63,7
65,191,14/12/23,689,666,7128.57,160,33
66,278,02/10/22,764,697,9295.43,11,43
67,247,29/10/23,170,178,14212.01,3,3
68,194,05/06/24,57,53,3522.78,37,0
69,312,25/05/24,136,138,8767.84,28,7
70,228,13/10/23,601,569,13036.49,55,14
71,136,11/09/23,681,620,7623.34,20,13
72,13,24/12/23,617,625,1997.9,118,26
73,330,12/12/22,657,656,2576.46,13,7
74,18,13/01/24,483,452,1109.07,118,8
75,241,29/11/24,213,206,2317.84,43,8
76,2,11/04/24,730,715,3355,55,10
77,117,15/12/23,376,321,3000.86,108,15
78,144,12/07/22,734,644,1997.12,54,41
79,258,15/10/22,392,400,6391.59,176,23
80,228,10/08/22,481,471,13464.08,78,23
81,67,01/11/22,201,199,11484.39,79,2
82,120,23/11/24,512,523,3257.36,89,21
83,115,03/11/24,740,742,2385.94,116,9
84,67,24/02/24,414,393,10837.4,49,4
85,380,04/06/22,679,660,2977.39,176,18
86,293,25/06/23,735,625,10821.53,5,39
87,62,27/10/24,72,74,8204.37,33,2
88,184,23/03/22,415,427,7337.78,173,27
89,5,24/01/23,183,172,7822.72,53,0
90,73,23/07/24,178,155,3989.3,45,9
91,257,08/09/22,740,718,12302.28,69,37
92,192,28/11/23,397,366,4302.97,35,19
93,378,02/08/23,472,436,6509.45,122,9
94,131,07/01/22,224,199,2901.97,152,7
95,359,02/05/23,676,673,2393.63,43,21
96,120,17/12/22,710,694,1716.33,39,6
97,260,01/05/22,66,64,10291.32,97,2
98,133,17/08/23,561,551,7509.35,160,1
99,232,18/01/23,432,394,5213.58,111,25
100,261,09/12/23,449,460,13901.49,139,30
101,354,10/05/22,168,144,7302.74,141,9
102,355,03/02/22,591,607,9970.87,40,7
103,286,29/07/22,184,170,7270.71,151,7
104,170,17/12/23,767,720,6989.54,151,38
105,16,21/04/23,389,362,14059.33,27,4
106,93,23/05/22,108,96,8013.76,10,0
107,264,21/01/22,762,663,12691.89,7,38
108,138,24/01/23,298,303,5160.04,17,1
109,358,26/04/22,358,329,3827.7,94,9
110,241,01/11/22,374,356,8275,66,3
111,127,23/03/24,789,723,13168.47,51,6
112,371,30/03/23,461,476,7906.74,5,2
113,298,07/11/24,247,247,3557.71,61,1
114,70,26/03/22,748,677,10047.76,49,34
115,177,23/03/23,485,449,5599.42,52,13
116,214,17/03/23,293,256,8743.8,111,8
117,29,18/05/23,753,728,9646.04,142,17
118,369,17/02/23,689,657,10845.42,154,6
119,168,11/01/22,571,572,12655.8,46,12
120,400,12/04/22,228,225,5797.55,157,9
121,87,31/12/22,633,546,10020.91,112,8
122,188,24/02/24,315,327,9625.66,6,2
123,307,14/09/22,510,454,8411.02,56,9
124,23,25/12/24,600,583,7332.21,156,36
125,328,21/04/24,592,560,12101.9,168,5
126,390,02/01/22,88,86,1403.97,32,2
127,201,22/07/22,559,568,2758.3,127,28
128,310,18/12/23,254,224,8339.84,58,11
129,185,10/01/23,655,580,10028.83,112,18
130,214,19/02/23,583,576,6093.21,142,7
131,160,29/11/22,339,305,10025.97,3,9
132,126,10/02/23,363,333,6161.68,59,17
133,147,13/07/24,334,285,10283.88,157,10
134,271,15/07/24,696,704,10284.52,98,9
135,207,06/07/24,128,122,11913.51,93,7
136,202,09/03/23,223,189,8712,178,3
137,154,27/03/24,70,71,2861.25,42,3
138,373,24/08/24,357,372,13039.99,100,7
139,258,05/03/24,362,370,2667.92,46,4
140,369,06/10/23,442,438,3264.8,158,20
141,86,06/06/23,120,103,4571.76,165,1
142,385,02/12/24,344,344,11734.02,60,8
143,19,02/04/22,410,430,8457.37,25,17
144,130,06/03/22,717,626,12076.92,132,24
145,336,03/01/22,216,216,9979.82,173,6
146,285,24/07/23,512,500,5987.7,160,2
147,178,04/11/23,492,504,10590.47,71,17
148,365,17/05/24,449,390,9390.03,129,10
149,218,27/05/24,64,65,1558.44,61,3
150,175,16/06/22,682,597,8941.74,2,19
151,379,24/09/22,127,131,10730.09,67,4
152,279,02/11/23,201,191,8488.56,83,4
153,344,22/11/22,355,320,9598.91,20,5
154,208,13/08/24,260,224,1098.93,130,10
155,291,13/04/24,344,328,13813.87,91,2
156,7,23/07/22,599,528,11824.13,53,17
157,317,07/12/22,666,638,2993.09,58,26
158,335,16/06/23,166,152,4078.57,4,9
159,326,26/01/22,634,595,7674.79,18,7
160,44,03/04/23,703,671,12240.65,9,15
161,22,17/04/22,233,236,9779.59,52,2
162,188,15/02/23,161,148,13074.19,165,7
163,361,01/07/24,175,174,3772.7,104,2
164,122,30/08/22,576,511,10869.93,57,33
165,31,06/07/24,687,676,7965.6,163,15
166,198,22/05/23,228,237,10098.53,109,4
167,186,04/07/24,498,482,10880.23,176,28
168,130,15/05/24,168,163,10853.09,176,2
169,169,19/12/22,592,614,5364.28,50,16
170,14,29/04/24,324,308,4251.75,54,2
171,260,14/08/24,263,230,3323.03,107,5
172,205,30/06/22,542,461,6377.82,13,22
173,126,16/10/23,344,356,8970.65,150,11
174,22,07/11/24,689,708,14757.76,128,3
175,39,16/02/24,729,634,1745.82,59,32
176,270,18/03/22,574,492,13852.61,78,19
177,225,02/09/24,649,600,12112.9,49,39
178,354,03/04/23,207,183,6308.92,180,6
179,218,26/09/23,189,170,13402.3,87,0
180,55,10/03/22,672,601,2166.55,39,26
181,140,23/09/23,689,588,4629.89,118,1
182,232,13/12/23,604,581,1420.53,11,27
183,272,03/05/22,739,701,5362.06,15,41
184,67,08/08/24,318,330,8303.95,51,10
185,148,09/06/23,436,395,12295.73,31,7
186,14,29/07/24,771,746,8042.32,52,20
187,305,25/02/22,282,291,8940.63,87,16
188,75,12/03/23,333,296,6420,56,10
189,209,12/03/23,313,320,10856.1,123,11
190,279,01/03/22,595,578,14348.97,72,8
191,157,20/04/23,204,196,1875.39,46,1
192,339,10/08/24,286,281,10868.77,81,4
193,56,05/03/22,593,582,11742.19,137,23
194,334,23/09/23,274,267,11782.41,102,10
195,333,22/10/22,126,109,8452.59,68,1
196,12,11/05/22,669,619,11279.6,35,10
197,13,21/12/23,751,668,10697.34,72,14
198,126,21/09/23,643,588,9118.83,11,10
199,236,25/07/24,492,422,9572.75,57,27
200,234,29/05/23,609,517,13959.94,27,13
201,153,29/10/23,783,675,9887.25,6,19
202,332,09/01/24,697,714,2893.01,54,20
203,176,24/04/22,590,509,12921.26,131,22
204,92,22/09/23,182,169,10880.4,160,6
205,340,09/11/22,381,382,9547.6,55,0
206,88,01/05/23,439,419,13653.57,99,2
207,126,14/09/23,156,142,7397.92,48,4
208,252,13/11/23,101,95,3875.94,138,2
209,386,08/01/24,629,642,1365.03,42,37
210,191,25/08/23,653,669,8131.35,176,16
211,210,24/10/22,433,385,9120.08,158,10
212,335,06/04/23,640,584,11540.65,179,17
213,346,17/03/22,294,260,8607.53,103,13
214,113,12/06/22,214,223,3146.66,62,14
215,196,25/10/23,238,206,3317.27,165,2
216,79,15/10/24,214,208,1646.65,124,10
217,368,28/08/22,527,547,9862.99,116,34
218,127,16/07/23,598,553,14530.5,165,9
219,157,02/04/24,599,522,13918.91,141,0
220,339,16/08/23,263,260,2952.56,175,10
221,189,07/12/22,339,338,6582.76,83,6
222,7,29/05/23,159,166,5690.35,150,7
223,64,19/07/24,670,683,5521.17,20,25
224,250,14/08/23,674,580,13030.93,66,29
225,291,19/09/24,271,250,14675.97,48,8
226,99,17/06/22,585,564,8537.41,130,25
227,170,01/05/24,115,117,11802.58,68,6
228,171,14/05/23,306,276,14747.72,94,5
229,46,12/11/23,575,574,5030.04,0,23
230,195,15/12/24,176,165,5338.05,18,7
231,324,22/03/24,769,751,3656.94,19,2
232,324,12/08/23,708,730,9576.98,134,42
233,249,17/04/23,357,359,14696.58,161,22
234,358,13/07/22,126,110,3051.03,23,7
235,282,16/12/24,506,505,5485.44,65,13
236,154,05/10/24,175,161,6461.4,163,3
237,353,25/07/22,508,455,5271.65,134,21
238,226,02/02/24,593,507,3261.13,142,33
239,289,14/01/22,372,350,14677.47,10,22
240,314,03/05/24,663,607,7724.31,170,1
241,154,09/02/22,107,109,6624.16,23,7
242,271,20/02/24,551,550,11624.59,101,22
243,129,12/03/22,77,68,1658.73,69,3
244,209,22/12/22,717,629,7467.82,147,4
245,351,19/06/23,720,752,9738.42,155,9
246,251,31/12/22,790,725,11507.26,7,29
247,156,17/12/24,249,248,12211.1,43,11
248,297,18/01/22,408,421,14104.19,93,23
249,82,08/06/24,602,551,11089.06,78,10
250,141,01/08/22,481,418,13316.69,157,4
251,303,13/04/24,706,713,14541.99,149,28
252,102,27/10/24,56,55,12706.12,11,2
253,396,26/02/23,709,629,6743.72,151,7
254,103,28/07/24,572,501,6765.62,15,27
255,247,06/03/24,450,434,14100.45,24,6
256,394,07/04/22,431,384,7299.63,9,9
257,174,03/07/24,55,49,10197.04,115,3
258,7,23/02/23,787,680,7901.75,104,25
259,382,17/04/24,666,592,11332.59,19,25
260,223,26/07/23,531,536,9197.14,79,23
261,333,14/03/22,259,245,8854.3,7,12
262,375,20/01/22,249,260,14490.26,114,0
263,1,24/06/22,656,663,5109.83,42,5
264,248,09/08/23,114,104,1310.73,137,4
265,117,03/11/24,512,532,4192.54,103,0
266,371,03/04/24,723,650,9462.23,175,1
267,314,21/03/23,54,55,8801.52,171,3
268,361,24/10/24,586,507,8856.45,5,8
269,128,05/12/23,601,539,3760.72,126,24
270,6,30/06/24,105,93,1427.06,136,2
271,148,07/06/24,276,242,4435.04,152,0
272,280,11/05/22,128,117,13253.92,96,4
273,138,20/09/22,501,497,12314.56,39,16
274,185,29/03/22,389,394,1943.52,13,4
275,360,17/05/24,608,596,8790.58,113,37
276,7,03/03/22,568,511,7583.72,108,15
277,259,02/11/22,470,403,5549.25,9,20
278,320,02/12/23,501,525,12632.25,129,22
279,292,28/12/23,664,686,5268.03,122,27
280,90,06/05/24,569,525,12108.63,177,8
281,381,25/12/23,793,781,13807.83,55,40
282,393,14/02/23,200,202,13122.01,113,8
283,241,17/09/23,379,357,12468.22,180,22
284,146,01/12/23,257,265,3579.53,126,4
285,191,29/05/23,770,787,7133.64,171,22
286,174,13/08/23,619,628,11465.49,76,16
287,213,21/05/24,721,743,9554.6,47,13
288,70,10/05/22,297,272,1577.47,130,16
289,307,17/12/23,473,459,13273.05,100,15
290,342,01/11/23,587,522,3510.04,113,31
291,320,04/02/23,102,90,6090.36,173,2
292,326,16/07/23,254,247,14710.08,129,5
293,340,23/03/22,573,500,7795.58,55,2
294,268,22/09/22,373,368,1045.63,124,10
295,279,02/06/24,549,489,13844.74,11,17
296,294,29/05/24,118,108,4509.32,13,0
297,245,29/01/22,284,255,9741.74,67,10
298,267,15/09/24,275,282,12419.11,164,16
299,297,13/10/23,261,262,14664.48,119,5
300,375,29/11/22,585,586,9058.69,57,32
301,191,14/03/24,97,82,3467.32,116,3
302,53,05/11/22,286,277,1230.86,12,4
303,100,14/10/22,328,300,5752.25,54,8
304,313,23/04/24,774,720,4735.22,165,34
305,373,18/01/24,473,436,1898.51,52,22
306,390,22/08/23,780,736,1305.46,90,17
307,68,26/12/22,86,75,8531.31,13,0
308,2,25/10/23,650,593,6324.36,44,12
309,259,01/09/22,698,620,2305.79,161,17
310,7,07/10/22,172,179,13415.49,94,1
311,319,20/06/22,665,639,4766.97,42,1
312,283,05/09/23,481,445,5804.09,5,3
313,318,28/08/24,484,465,7424.42,71,29
314,211,30/12/24,701,608,6532.83,60,35
315,340,10/02/24,314,327,9588.27,38,15
316,86,05/12/24,343,319,13910.09,89,16
317,152,13/11/23,399,416,14594.79,68,27
318,330,21/01/24,329,344,10160.15,180,5
319,115,21/04/23,585,607,12185.02,93,25
320,297,10/07/24,387,376,9735.35,79,25
321,318,16/10/23,692,660,1737.03,170,6
322,164,24/01/22,330,314,14393.18,167,6
323,277,03/07/23,455,456,8730.24,7,5
324,105,23/12/24,457,403,4206.58,39,16
325,213,14/11/24,460,457,7212.79,168,17
326,132,24/02/22,750,785,7013.38,39,35
327,162,08/04/23,533,533,2941.35,143,22
328,400,06/10/24,575,535,5738.13,147,28
329,357,21/03/22,145,131,4312.91,94,2
330,192,18/11/24,279,283,7874.74,101,10
331,292,16/11/22,306,305,7498.82,48,12
332,378,30/07/24,319,324,10790.66,31,13
333,148,15/04/23,679,664,9268.77,110,17
334,77,01/12/23,82,74,1346.75,130,1
335,161,11/08/24,271,239,11419.64,126,7
336,389,02/03/23,219,215,3295.37,87,5
337,169,23/04/22,173,166,7572.77,9,3
338,103,11/04/24,140,134,14812.61,79,1
339,3,20/01/24,611,544,9728.23,79,6
340,52,03/07/24,775,807,7580.64,35,49
341,298,01/11/22,207,180,4581.07,124,8
342,126,28/11/24,69,66,11117.46,94,1
343,160,25/03/23,85,87,13651.08,156,4
344,200,05/08/24,223,214,4048.51,111,5
345,368,24/02/22,356,327,14224.76,121,7
346,366,27/11/24,326,323,8885.14,59,12
347,220,10/01/23,362,328,11979.18,18,0
348,179,23/07/23,71,68,2783.46,93,4
349,144,07/12/24,415,380,11373.49,114,25
350,275,31/08/23,410,356,10060.01,24,18
351,218,03/11/22,431,400,10635.94,121,9
352,102,13/01/24,433,449,11996.88,97,20
353,276,07/10/22,456,409,5396.91,132,22
354,342,11/12/23,384,383,13845.08,101,22
355,345,15/06/23,287,244,2640.31,73,10
356,207,20/01/24,777,814,10751.66,124,21
357,105,03/12/24,193,183,2639.27,96,8
358,69,19/12/22,457,427,9352.27,79,1
359,184,15/06/23,740,771,6123.59,167,35
360,277,08/11/22,209,178,9339.85,55,8
361,268,08/01/22,443,425,8193.27,164,11
362,399,10/09/22,465,424,5618.67,130,2
363,135,05/08/22,579,605,9543,66,8
364,69,05/02/23,450,388,7634.34,133,3
365,253,28/03/24,489,460,3941.89,40,20
366,43,24/07/23,65,60,8392.91,158,3
367,163,29/03/23,668,664,8656.49,27,40
368,102,05/05/23,481,463,8584.77,138,19
369,109,08/10/23,616,617,10880.96,117,11
370,394,29/10/23,799,812,2771.7,94,27
371,322,14/07/22,201,182,9468.32,45,12
372,329,16/06/22,719,646,7523.05,88,13
373,362,06/12/22,576,602,9589.5,85,18
374,261,29/11/22,68,66,14935.7,99,0
375,233,15/10/24,169,169,7923.72,103,3
376,273,05/04/23,465,442,14370.56,69,4
377,78,08/12/23,400,376,13363.8,97,8
378,105,21/04/22,407,380,14696.69,55,12
379,275,24/10/22,548,494,2343.23,35,5
380,47,22/11/24,640,581,5428.23,113,35
381,72,15/01/23,576,599,8286.65,18,0
382,28,09/07/23,770,806,10732.01,31,27
383,199,20/08/22,351,320,10950.4,137,6
384,110,25/12/24,99,84,8493.72,136,4
385,46,24/03/22,223,219,3444.81,34,3
386,106,19/09/23,195,177,6611.87,144,9
387,319,01/04/22,202,197,3332.49,146,8
388,38,30/05/22,225,223,9743.19,56,5
389,193,01/08/24,232,231,4838.55,176,15
390,198,18/03/23,507,467,11870.48,120,2
391,366,21/08/22,709,659,7723.3,71,4
392,335,17/10/24,656,570,14496.47,122,21
393,10,03/07/24,777,798,4723.86,29,34
394,167,12/12/24,53,54,9079.74,11,1
395,99,01/05/23,797,797,6220.61,177,30
396,112,03/04/24,114,109,6579.3,121,0
397,17,03/02/24,508,463,12393.53,87,21
398,321,03/06/23,471,414,3518.3,118,24
399,169,05/08/23,186,183,8723.36,166,8
400,178,25/09/23,489,477,10196.73,40,23
401,164,20/07/24,278,238,14271.97,14,10
402,23,01/07/22,289,293,2040.91,173,8
403,33,09/07/23,746,781,12834.32,165,39
404,127,15/09/22,775,730,12463.55,166,41
405,194,23/12/23,179,171,12120.14,170,10
406,378,30/01/23,698,731,11530.02,146,31
407,73,10/02/23,686,643,1474.72,6,40
408,144,06/08/22,701,685,10483.55,158,18
409,82,01/11/22,379,338,13881.52,167,9
410,336,13/08/23,659,621,13711.47,62,12
411,381,19/07/22,279,245,3065.05,13,5
412,400,21/09/22,340,346,3623.07,12,0
413,45,25/11/23,208,179,13299.36,151,5
414,81,09/05/22,748,776,12895.93,13,1
415,241,10/12/22,76,78,11694.25,139,3
416,18,28/07/24,699,689,9749.55,94,43
417,98,07/06/23,381,374,7872.88,21,6
418,125,22/10/23,294,263,7257.63,58,2
419,154,02/05/24,131,126,3853.01,156,2
420,291,07/01/24,315,299,14487.25,89,19
421,90,10/02/23,542,505,13870.35,39,25
422,183,02/12/24,477,472,10670.41,131,18
423,69,19/08/22,274,266,5670.02,43,13
424,94,21/08/23,651,562,2908.67,45,1
425,377,04/09/24,721,744,12561.3,120,12
426,106,12/12/24,233,219,14033.86,15,10
427,385,01/06/24,647,573,2521.44,2,3
428,224,30/09/22,227,209,11276.43,150,13
429,211,18/09/24,642,641,12013.57,51,7
430,244,13/08/22,674,673,4046.54,45,7
431,137,31/01/23,555,536,1276.68,8,14
432,136,07/07/23,622,650,12848.55,160,17
433,14,25/08/22,440,389,5063.6,173,11
434,360,26/06/23,62,56,7277.14,116,0
435,186,09/05/22,297,264,13975.75,165,10
436,275,16/12/22,375,366,9474.69,65,21
437,387,02/07/22,136,136,10538.1,92,0
438,288,17/12/22,501,473,13204.52,22,12
439,40,17/01/24,378,331,14012.78,98,1
440,394,25/02/24,606,551,7853.36,84,32
441,248,11/06/22,468,453,2535.44,142,15
442,46,15/09/22,593,599,4041.37,151,21
443,167,05/02/24,715,679,14753.02,123,23
444,297,16/04/22,427,376,2168.55,152,6
445,252,12/08/22,254,238,7363.4,108,11
446,137,18/01/23,622,575,12527,177,34
447,292,23/03/24,771,707,13299.4,147,29
448,97,16/05/24,290,286,4564.08,92,12
449,108,28/08/24,721,657,1130.04,169,30
450,90,23/12/22,639,626,4351.99,153,5
451,360,24/04/23,423,417,6440.76,59,24
452,295,28/08/23,656,592,7869.58,31,3
453,57,22/06/23,433,422,13705.93,16,16
454,16,28/08/24,610,552,12716.16,8,7
455,379,14/02/23,153,130,6213.64,97,2
456,203,14/01/22,790,772,3277.32,123,44
457,375,16/02/24,730,721,3075.83,38,17
458,156,27/07/24,372,352,4147.47,60,1
459,98,23/12/22,330,309,6014.13,143,16
460,46,24/12/22,629,593,7754.93,170,34
461,108,27/07/23,514,517,6669.71,121,18
462,166,29/12/24,583,532,1609.32,55,4
463,342,30/11/22,782,666,13356.38,13,31
464,345,22/07/23,354,304,13626.68,121,15
465,102,03/11/23,322,293,13685.49,126,15
466,283,17/11/22,355,365,2646.9,112,24
467,43,06/06/23,632,590,12303.51,70,9
468,35,14/01/24,351,314,3570.64,132,0
469,372,24/06/22,761,731,5938.23,88,8
470,283,20/02/23,617,574,8485.85,58,29
471,189,05/02/23,628,546,7422.36,67,34
472,167,16/01/23,626,536,8917.75,98,5
473,94,28/04/23,686,702,6055.84,89,17
474,40,16/07/22,458,428,13405.36,3,16
475,395,27/07/22,598,538,6995.4,20,32
476,2,13/03/24,614,593,3498.19,95,20
477,145,10/05/23,266,262,3280.13,148,5
478,266,18/04/24,594,553,4472.81,129,24
479,250,17/08/24,163,155,14890.48,160,4
480,296,22/06/22,485,457,10710.48,164,28
481,316,02/12/23,410,410,2139.41,21,11
482,203,09/08/24,419,362,2917.25,50,2
483,102,08/11/24,788,773,9821.46,138,36
484,149,03/03/24,448,400,2953.54,124,8
485,381,21/02/23,280,253,12956.23,8,13
486,298,28/07/23,204,197,1179.03,48,7
487,135,07/02/23,316,282,13932.78,50,7
488,187,13/08/23,157,144,5448.6,104,2
489,61,23/06/24,427,399,10801.01,134,6
490,13,29/05/22,126,111,14838.78,157,6
491,32,07/06/22,273,260,2548.97,117,6
492,345,11/08/22,794,700,4602.5,124,30
493,397,13/02/24,82,82,14031.63,30,4
494,113,01/04/22,149,127,1123.71,88,7
495,290,24/03/23,736,769,6603.22,112,30
496,260,19/05/23,373,353,11877.29,141,20
497,313,18/07/24,263,255,11445.57,104,1
498,44,11/03/22,141,120,10823.12,115,2
499,191,10/02/23,183,175,9667.95,68,11
500,238,19/07/24,444,408,13746.84,92,26
501,63,28/11/23,660,686,5487,169,29
502,323,07/05/23,341,349,9658.81,24,22
503,127,27/01/22,509,472,12475.79,103,11
504,157,29/04/24,151,143,4990.46,111,7
505,271,03/07/24,705,613,13573.81,92,38
506,160,19/04/24,70,69,10742.15,37,3
507,220,27/06/24,140,141,6811.34,94,4
508,231,15/08/24,285,271,10294.47,92,18
509,33,23/10/24,410,413,4137.74,128,6
510,365,01/05/23,451,446,13063.87,173,25
511,61,09/10/24,285,256,7996.42,103,7
512,90,09/04/24,290,269,10206.14,134,15
513,134,21/07/24,464,449,4730.52,73,10
514,308,20/08/23,218,194,11812.87,89,1
515,103,02/02/24,459,395,8905.68,27,13
516,255,07/04/23,545,563,14276.31,44,19
517,80,17/03/24,281,289,9732.81,143,17
518,30,09/04/22,588,559,2559.33,142,31
519,134,17/12/24,784,769,5942.6,30,31
520,313,17/12/24,156,134,4120.8,56,6
521,374,06/10/23,723,704,5763.64,136,27
522,68,02/06/23,337,349,1855.1,85,23
523,207,29/07/23,678,595,11191.48,118,35
524,132,01/08/24,491,433,2333.04,172,10
525,47,26/01/24,548,527,13859.63,140,0
526,87,18/07/24,132,123,7507.62,8,8
527,25,29/09/22,606,564,1443.37,78,25
528,137,21/07/22,372,330,6329.16,56,10
529,341,20/10/24,622,569,9629.7,141,17
530,153,27/08/23,524,531,9849.17,155,4
531,187,26/12/24,144,150,4814.91,6,8
532,109,23/05/24,396,377,14992.17,100,10
533,227,11/02/24,167,174,14165.99,34,5
534,5,18/12/23,768,668,9252.21,157,19
535,40,30/04/24,664,653,1764.86,63,6
536,119,13/12/24,433,387,12754.26,139,19
537,279,09/08/24,299,307,10328.84,148,6
538,24,04/03/23,458,440,9713.27,21,3
539,345,25/06/24,99,86,1491.83,5,5
540,327,11/05/23,91,80,9908.25,139,2
541,362,29/03/24,313,325,2603.56,77,0
542,242,14/07/24,774,665,2793.25,6,19
543,341,11/04/24,172,169,3561.9,165,10
544,251,17/06/23,452,440,6662.28,103,0
545,115,11/04/24,253,254,3952.47,114,11
546,319,23/10/22,205,198,4973.7,93,1
547,134,12/11/22,216,223,1745.32,31,8
548,175,05/05/22,224,220,13123.18,49,8
549,99,17/11/23,338,326,2376.18,33,16
550,275,11/10/24,516,458,6770.62,120,11
551,1,19/06/22,319,309,6489.06,109,1
552,137,05/07/22,312,282,8680.54,154,8
553,146,14/01/22,372,338,6560.77,139,16
554,204,22/11/24,714,739,9300.73,16,28
555,252,21/12/23,792,764,1681.44,126,32
556,2,09/05/24,721,626,5197.68,32,17
557,395,24/04/24,199,195,12504.93,49,11
558,34,29/06/24,419,375,13479.37,98,13
559,95,11/01/24,110,98,4511.92,99,1
560,246,25/05/24,260,234,11014.81,35,7
561,217,25/05/22,74,75,7120.61,94,4
562,290,12/09/23,380,369,14291.39,180,2
563,9,14/03/24,524,485,5524.99,101,24
564,62,14/05/22,310,305,4056.67,12,0
565,164,21/07/23,428,365,1462.86,83,13
566,119,06/05/23,526,457,9698.84,109,4
567,135,05/09/23,384,384,11063.06,45,8
568,6,24/08/24,438,425,14036.85,114,25
569,36,16/02/23,657,624,5827.94,162,9
570,96,29/09/24,388,348,9223.84,95,19
571,259,19/04/23,537,473,3479.43,8,7
572,381,11/10/23,110,110,1839.59,76,1
573,245,16/12/23,464,443,2218.96,83,14
574,175,25/10/23,711,690,1310.82,94,39
575,219,15/10/22,357,342,7777.56,119,17
576,400,23/03/22,664,635,2109.19,153,4
577,341,07/11/24,351,340,9622.38,155,21
578,26,22/12/23,73,75,3521.2,75,1
579,194,03/08/23,596,571,5771.55,58,23
580,105,22/07/23,800,741,9225.9,16,11
581,245,16/06/22,547,482,8234.56,128,32
582,388,04/06/22,280,292,11414.48,110,17
583,368,22/02/23,151,151,4537.77,40,10
584,292,02/12/24,496,485,11411.63,144,23
585,287,20/07/23,478,432,7504.51,27,20
586,85,11/03/24,408,383,10819.51,64,0
587,12,17/01/22,719,705,1140.24,64,44
588,291,30/01/24,392,336,10505.72,37,8
589,310,15/06/23,156,138,1751.12,89,1
590,257,13/02/23,700,691,11592.91,104,40
591,319,27/06/23,94,82,6362.28,159,2
592,162,24/05/24,425,379,8530.55,109,16
593,202,01/04/24,67,64,3217.32,28,0
594,124,26/09/22,163,141,10205.32,5,5
595,352,14/12/23,536,534,7974.16,130,10
596,279,26/11/23,446,425,9700.53,150,2
597,232,30/01/23,564,536,5635.88,121,29
598,145,18/10/23,487,451,1764.36,51,17
599,114,15/12/23,343,348,8952.1,132,14
600,54,14/12/23,599,579,1932.32,72,26
601,292,31/03/23,58,55,11988.71,86,3
602,71,12/07/22,240,239,14296.93,176,6
603,253,18/11/23,396,382,1545.3,180,0
604,49,22/01/24,108,103,10724.12,96,2
