PurchaseOrderID,SupplierID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,TotalCost,Status
158,6,18/02/24,08/03/24,09/03/24,18931.67,Approved
159,40,06/11/23,19/11/23,25/11/23,50946.73,Received
160,58,10/06/23,20/06/23,21/06/23,48469.41,Approved
161,47,03/12/24,17/01/25,19/01/25,29443.27,Shipped
162,2,12/09/22,25/09/22,26/09/22,43957.08,Received
163,32,23/11/23,28/11/23,26/11/23,42929.58,Approved
164,6,26/05/22,14/06/22,12/06/22,91072.03,Shipped
165,48,27/09/23,23/10/23,21/10/23,73633.72,Shipped
166,40,27/07/23,09/08/23,07/08/23,73241.08,Shipped
167,44,17/02/23,17/03/23,15/03/23,25030.22,Approved
168,58,20/07/23,30/07/23,30/07/23,47354.13,Shipped
169,40,08/10/24,21/10/24,19/10/24,22297.48,Received
170,40,16/10/23,29/10/23,28/10/23,38744.6,Shipped
171,39,03/02/22,13/02/22,19/02/22,30936.42,Pending
172,8,04/08/22,22/08/22,21/08/22,63100.21,Shipped
173,10,17/08/22,07/09/22,09/09/22,21262.57,Shipped
174,22,13/11/22,08/12/22,07/12/22,28271.13,Cancelled
175,28,13/10/23,25/11/23,02/12/23,16139.95,Shipped
176,44,06/07/24,03/08/24,05/08/24,15569.03,Pending
177,38,07/11/23,27/11/23,27/11/23,12771.67,Received
178,75,20/01/23,29/01/23,30/01/23,87597.1,Received
179,29,16/08/23,23/09/23,21/09/23,61867.3,Pending
180,74,23/05/23,26/06/23,27/06/23,91004.68,Shipped
181,24,28/12/24,06/02/25,14/02/25,57374.33,Received
182,19,18/06/22,28/07/22,27/07/22,75660.41,Approved
183,59,27/12/23,27/01/24,28/01/24,78327.03,Approved
184,8,21/04/23,09/05/23,19/05/23,79928.54,Cancelled
185,5,09/08/23,26/08/23,24/08/23,47241.38,Received
186,53,10/09/24,21/09/24,20/09/24,96858.72,Received
187,39,08/05/23,18/05/23,18/05/23,16580.41,Received
188,59,28/04/23,29/05/23,27/05/23,74092.63,Approved
189,29,22/03/24,29/04/24,01/05/24,85340.63,Approved
190,26,02/05/23,08/06/23,09/06/23,99867.65,Shipped
191,49,27/04/24,02/06/24,01/06/24,70020.63,Pending
192,13,23/07/24,02/09/24,07/09/24,52409.28,Approved
193,24,19/11/24,29/12/24,31/12/24,25027.74,Received
194,70,05/01/24,16/02/24,16/02/24,93368.12,Received
195,72,08/09/22,08/10/22,10/10/22,24757.58,Shipped
196,65,21/10/23,29/10/23,30/10/23,10395.94,Received
197,54,24/03/22,13/04/22,12/04/22,92542.05,Shipped
198,44,26/12/24,23/01/25,23/01/25,25854.38,Received
199,13,12/12/24,22/01/25,31/01/25,68125.61,Approved
200,55,19/02/22,23/03/22,29/03/22,85126.97,Pending
201,57,16/12/23,24/12/23,22/12/23,47675.5,Received
202,62,25/04/23,27/05/23,26/05/23,8752.78,Pending
203,51,20/09/24,07/10/24,08/10/24,88504.02,Approved
204,41,04/07/23,19/07/23,17/07/23,89396.6,Pending
205,25,12/05/24,23/06/24,02/07/24,57390.43,Received
206,60,06/09/24,14/09/24,20/09/24,58977.3,Received
207,39,07/09/22,17/09/22,19/09/22,48977.61,Shipped
208,7,06/02/22,21/02/22,03/03/22,59529.02,Pending
209,6,25/08/22,13/09/22,12/09/22,39312.21,Received
210,36,17/06/23,25/07/23,23/07/23,52734.48,Approved
211,73,16/02/22,13/03/22,14/03/22,87295.94,Cancelled
212,68,10/04/23,10/05/23,10/05/23,50661.26,Pending
213,44,03/12/24,31/12/24,31/12/24,63631.52,Received
214,40,03/06/22,16/06/22,17/06/22,54011.25,Approved
215,34,09/05/22,23/06/22,21/06/22,64098.44,Pending
216,64,16/02/24,29/03/24,31/03/24,53663.27,Cancelled
217,70,22/09/22,03/11/22,10/11/22,87644,Received
218,26,03/11/22,10/12/22,12/12/22,84853.1,Received
219,3,01/09/23,11/09/23,09/09/23,97074.31,Shipped
220,70,02/06/23,14/07/23,12/07/23,53893.61,Received
221,71,25/07/22,12/08/22,10/08/22,64297.48,Received
222,43,19/01/23,05/02/23,03/02/23,79490.81,Received
223,72,02/08/23,01/09/23,01/09/23,22998.09,Pending
224,63,27/10/22,02/12/22,05/12/22,15861.46,Pending
225,41,26/10/23,10/11/23,12/11/23,29299.84,Received
226,61,04/11/23,25/11/23,25/11/23,91659.74,Cancelled
227,15,21/06/24,02/07/24,01/07/24,64012.23,Pending
228,62,05/04/24,07/05/24,08/05/24,52417.83,Shipped
229,67,30/03/22,08/04/22,07/04/22,42754.9,Pending
230,32,04/06/22,09/06/22,18/06/22,87590.31,Received
231,51,26/11/22,13/12/22,15/12/22,34409.43,Received
232,29,15/03/23,22/04/23,23/04/23,71353.74,Shipped
233,7,31/10/24,15/11/24,20/11/24,96293.97,Shipped
234,72,30/11/24,30/12/24,28/12/24,51961.9,Received
235,12,19/07/22,11/08/22,12/08/22,75931.84,Cancelled
236,44,27/05/23,24/06/23,25/06/23,78000.77,Shipped
237,53,18/07/24,29/07/24,28/07/24,8501.77,Received
238,51,19/10/23,05/11/23,13/11/23,39796.06,Received
239,2,17/01/23,30/01/23,30/01/23,19735.66,Approved
240,24,18/04/24,28/05/24,27/05/24,28150.27,Shipped
241,26,03/06/24,10/07/24,11/07/24,95383.63,Shipped
242,35,25/12/23,11/01/24,11/01/24,57418.44,Received
243,55,28/07/23,29/08/23,30/08/23,6836.81,Received
244,34,07/02/22,24/03/22,26/03/22,35225.95,Received
245,22,25/05/23,19/06/23,19/06/23,73942.22,Shipped
246,42,29/08/23,16/09/23,14/09/23,85831.26,Pending
247,64,12/01/24,23/02/24,22/02/24,18789.35,Approved
248,42,24/11/22,12/12/22,10/12/22,68695.19,Received
249,5,06/09/22,23/09/22,24/09/22,99984.76,Received
250,16,11/12/23,26/12/23,05/01/24,54067.81,Received
251,25,31/01/24,13/03/24,12/03/24,98750.91,Pending
252,15,29/07/23,09/08/23,07/08/23,70646.91,Approved
253,53,14/08/24,25/08/24,23/08/24,52379.33,Received
254,28,10/01/22,22/02/22,23/02/22,54990.36,Received
255,19,26/09/23,05/11/23,10/11/23,23763.17,Approved
256,34,07/06/24,22/07/24,24/07/24,14334.68,Received
257,27,26/09/24,10/10/24,11/10/24,54793.6,Received
258,49,15/04/23,21/05/23,20/05/23,68166.21,Shipped
259,32,11/09/24,16/09/24,16/09/24,67895.92,Received
260,54,18/10/24,07/11/24,09/11/24,62123.27,Received
261,3,15/09/23,25/09/23,27/09/23,42710.02,Received
262,29,08/05/24,15/06/24,14/06/24,39853.64,Approved
263,25,04/12/24,15/01/25,16/01/25,66421.4,Received
264,20,08/12/23,27/12/23,28/12/23,62679.41,Received
265,43,17/08/24,03/09/24,01/09/24,19872.23,Shipped
266,33,09/12/22,15/01/23,14/01/23,18334.48,Pending
267,63,18/01/22,23/02/22,28/02/22,65655.74,Received
268,15,24/12/22,04/01/23,02/01/23,41008.13,Shipped
269,28,12/08/24,24/09/24,25/09/24,58877.21,Received
270,18,06/11/23,26/11/23,01/12/23,23402.41,Approved
271,18,06/12/22,26/12/22,27/12/22,94034.15,Received
272,62,07/04/24,09/05/24,11/05/24,64568.53,Received
273,75,29/03/24,07/04/24,08/04/24,55371.35,Received
274,73,13/01/23,07/02/23,05/02/23,68729.94,Received
275,72,28/10/23,27/11/23,25/11/23,15822.6,Approved
276,54,15/02/23,07/03/23,08/03/23,99626.29,Cancelled
277,46,05/09/22,15/10/22,23/10/22,47108.46,Received
278,63,11/11/22,17/12/22,18/12/22,23783.72,Approved
279,45,20/05/24,09/06/24,14/06/24,98429.38,Approved
280,17,15/09/22,24/09/22,22/09/22,55478.67,Pending
281,23,22/02/23,28/03/23,28/03/23,83170.43,Received
282,42,18/11/22,06/12/22,05/12/22,41705.69,Received
283,19,12/09/23,22/10/23,24/10/23,36373.46,Received
284,9,20/04/22,19/05/22,18/05/22,80365.42,Shipped
285,51,09/03/22,26/03/22,26/03/22,30474.57,Shipped
286,63,01/07/23,06/08/23,07/08/23,33648.5,Cancelled
287,51,02/10/24,19/10/24,19/10/24,98619.83,Pending
288,30,25/10/23,06/11/23,05/11/23,68360.35,Received
289,38,02/05/23,22/05/23,21/05/23,98945.46,Received
290,75,05/06/22,14/06/22,16/06/22,6565.91,Pending
291,50,25/06/22,05/08/22,04/08/22,22560.91,Received
292,52,03/02/24,06/03/24,06/03/24,88356.66,Shipped
293,69,03/12/22,14/01/23,14/01/23,65738.66,Shipped
294,15,20/09/24,01/10/24,29/09/24,16954.37,Shipped
295,69,10/03/24,21/04/24,22/04/24,22792.72,Received
296,23,03/04/22,07/05/22,16/05/22,56196.89,Received
297,49,20/12/24,25/01/25,24/01/25,56581.37,Approved
298,75,20/10/24,29/10/24,31/10/24,98009.84,Approved
299,34,17/09/22,01/11/22,01/11/22,21075.88,Shipped
300,50,07/02/22,20/03/22,19/03/22,23532.01,Approved
301,19,11/06/22,21/07/22,22/07/22,54364.9,Received
302,66,13/01/22,28/01/22,28/01/22,78631.64,Shipped
303,10,19/05/23,09/06/23,14/06/23,47557.2,Received
304,30,02/02/23,14/02/23,23/02/23,81737.28,Shipped
305,14,07/03/22,26/03/22,27/03/22,38622.68,Shipped
306,46,16/07/24,25/08/24,27/08/24,25317.76,Shipped
307,41,11/07/24,26/07/24,26/07/24,7848.77,Cancelled
308,56,31/05/24,03/07/24,05/07/24,36589.62,Shipped
309,68,13/12/24,12/01/25,14/01/25,74492.97,Received
310,43,01/11/23,18/11/23,18/11/23,49797.76,Shipped
311,36,16/04/24,24/05/24,22/05/24,34602.62,Approved
312,15,29/01/24,09/02/24,11/02/24,20772.68,Shipped
313,18,30/01/24,19/02/24,21/02/24,90043.35,Approved
314,21,24/09/22,16/10/22,15/10/22,48498.2,Pending
315,9,12/08/23,10/09/23,08/09/23,41796.56,Pending
316,39,12/02/22,22/02/22,24/02/22,75356.41,Shipped
317,17,16/12/22,25/12/22,24/12/22,26091.5,Approved
318,12,04/10/22,27/10/22,27/10/22,66730,Shipped
319,17,21/09/22,30/09/22,28/09/22,84512.6,Approved
320,16,30/08/23,14/09/23,24/09/23,92169.32,Shipped
321,7,12/12/23,27/12/23,26/12/23,23425.52,Received
322,8,12/01/24,30/01/24,01/02/24,94305.48,Cancelled
323,62,09/05/22,10/06/22,12/06/22,40437.29,Received
324,43,22/04/23,09/05/23,10/05/23,81851.81,Received
325,56,02/09/24,05/10/24,05/10/24,80479.64,Cancelled
326,28,19/03/22,01/05/22,01/05/22,15904.9,Received
327,36,14/04/24,22/05/24,28/05/24,76044.89,Pending
328,68,27/08/24,26/09/24,24/09/24,6336.02,Pending
329,60,30/06/23,08/07/23,10/07/23,41000.76,Cancelled
330,60,13/08/24,21/08/24,26/08/24,12355.73,Received
331,58,01/03/22,11/03/22,10/03/22,44398.15,Pending
332,34,17/03/23,01/05/23,30/04/23,15885.97,Approved
333,61,29/07/24,19/08/24,20/08/24,92159.97,Received
334,71,17/09/24,05/10/24,12/10/24,40382.24,Received
335,59,20/01/24,20/02/24,21/02/24,30864.24,Received
336,8,07/11/24,25/11/24,26/11/24,13936.27,Received
337,55,05/02/23,09/03/23,09/03/23,6982.33,Received
338,45,26/08/24,15/09/24,16/09/24,73324.47,Shipped
339,10,15/01/23,05/02/23,07/02/23,39256.61,Shipped
340,20,15/09/23,04/10/23,02/10/23,32792.27,Approved
341,40,06/08/24,19/08/24,26/08/24,7412.72,Approved
342,2,05/09/24,18/09/24,16/09/24,54457.1,Shipped
343,39,21/06/22,01/07/22,30/06/22,33449.56,Shipped
344,30,07/06/22,19/06/22,21/06/22,7794.37,Approved
345,19,10/10/22,19/11/22,21/11/22,12101.64,Received
346,19,16/12/22,25/01/23,27/01/23,8197.48,Pending
347,40,30/10/24,12/11/24,14/11/24,19356.16,Shipped
348,68,06/01/23,05/02/23,06/02/23,93296.54,Pending
349,19,21/08/22,30/09/22,08/10/22,62202.67,Approved
350,56,20/05/22,22/06/22,20/06/22,16672.48,Received
351,38,29/11/22,19/12/22,18/12/22,94785.34,Received
352,27,30/11/24,14/12/24,15/12/24,70998.62,Approved
353,39,15/12/24,25/12/24,02/01/25,27138.18,Approved
354,42,05/12/22,23/12/22,23/12/22,61828.63,Approved
355,50,19/04/24,30/05/24,31/05/24,88024.22,Pending
356,59,27/07/22,27/08/22,27/08/22,11533.4,Received
357,48,27/05/24,22/06/24,20/06/24,86329.85,Cancelled
358,52,19/09/23,21/10/23,21/10/23,56409.2,Cancelled
359,1,14/02/23,26/02/23,28/02/23,90312.21,Received
360,16,04/04/22,19/04/22,21/04/22,98586.79,Received
361,69,05/05/23,16/06/23,14/06/23,22824.99,Received
362,16,10/09/23,25/09/23,23/09/23,95723.63,Received
363,74,06/08/22,09/09/22,08/09/22,92155.9,Pending
364,48,23/10/24,18/11/24,20/11/24,33852.83,Approved
365,18,19/09/22,09/10/22,09/10/22,60063.38,Shipped
366,10,28/03/22,18/04/22,20/04/22,60909.33,Received
367,11,21/04/23,03/05/23,04/05/23,35187.79,Shipped
368,17,25/12/22,03/01/23,02/01/23,35658.08,Approved
369,17,25/09/24,04/10/24,04/10/24,82952.08,Shipped
370,74,12/06/23,16/07/23,16/07/23,97854.74,Shipped
371,27,18/01/23,01/02/23,30/01/23,44055.67,Received
372,53,23/12/23,03/01/24,05/01/24,11906.8,Received
373,34,16/04/24,31/05/24,31/05/24,23433.36,Received
374,20,17/10/23,05/11/23,03/11/23,68960.45,Received
375,62,15/02/24,18/03/24,20/03/24,23673.7,Received
376,41,15/01/22,30/01/22,30/01/22,28461.24,Shipped
377,33,18/04/23,25/05/23,23/05/23,6542.54,Shipped
378,28,13/06/24,26/07/24,05/08/24,93535.44,Shipped
379,2,27/03/23,09/04/23,08/04/23,49121.94,Cancelled
380,61,03/05/22,24/05/22,26/05/22,85759.65,Pending
381,57,09/05/24,17/05/24,19/05/24,84875.77,Shipped
382,22,03/06/24,28/06/24,28/06/24,62740.21,Shipped
383,14,23/07/23,11/08/23,12/08/23,24440.71,Pending
384,32,15/06/23,20/06/23,22/06/23,45530.26,Pending
385,50,14/02/22,27/03/22,03/04/22,61636.18,Received
386,19,02/06/24,12/07/24,13/07/24,94102.23,Received
387,53,11/12/23,22/12/23,23/12/23,42789.72,Shipped
388,4,11/03/22,29/03/22,30/03/22,72810.02,Received
389,25,25/06/24,06/08/24,06/08/24,78293.52,Shipped
390,34,10/12/24,24/01/25,23/01/25,79686.91,Shipped
391,12,23/01/24,15/02/24,17/02/24,87640.77,Shipped
392,52,25/09/23,27/10/23,02/11/23,61645.12,Shipped
393,27,21/10/23,04/11/23,05/11/23,98894.04,Approved
394,58,30/06/24,10/07/24,10/07/24,27166.77,Received
395,50,09/06/22,20/07/22,18/07/22,35003.95,Pending
396,56,29/10/22,01/12/22,30/11/22,24380.84,Received
397,24,25/05/22,04/07/22,06/07/22,30610.56,Received
398,15,28/04/23,09/05/23,09/05/23,24749.29,Shipped
399,12,30/12/24,22/01/25,23/01/25,71836.93,Shipped
400,67,23/07/23,01/08/23,02/08/23,78712.68,Shipped
401,7,22/10/23,06/11/23,04/11/23,33835.45,Shipped
402,51,28/09/23,15/10/23,15/10/23,63868.1,Received
403,69,11/09/23,23/10/23,24/10/23,79946.93,Shipped
404,75,28/05/22,06/06/22,07/06/22,92916.3,Received
405,9,24/09/23,23/10/23,23/10/23,83419.62,Received
406,4,25/10/24,12/11/24,14/11/24,16279.95,Received
407,58,09/01/22,19/01/22,29/01/22,68497.42,Received
408,60,04/12/23,12/12/23,10/12/23,45014.78,Received
409,62,28/08/23,29/09/23,01/10/23,60494.05,Received
410,7,03/03/22,18/03/22,18/03/22,59723.35,Received
411,21,08/06/22,30/06/22,02/07/22,69836.95,Shipped
412,6,05/07/23,24/07/23,24/07/23,99849.11,Approved
413,63,21/02/22,29/03/22,29/03/22,26360.63,Received
414,50,24/02/23,06/04/23,04/04/23,46074.84,Received
415,43,27/02/22,16/03/22,17/03/22,97954.99,Received
416,59,21/10/24,21/11/24,23/11/24,94909.67,Received
417,74,25/03/24,28/04/24,28/04/24,59915.32,Approved
418,23,18/09/23,22/10/23,22/10/23,26675.52,Shipped
419,45,13/06/22,03/07/22,03/07/22,33938.06,Approved
420,37,24/03/23,30/03/23,31/03/23,78329.09,Received
421,18,15/10/22,04/11/22,06/11/22,19261.91,Approved
422,60,09/03/24,17/03/24,17/03/24,39824.22,Received
423,2,23/01/23,05/02/23,07/02/23,13353.1,Received
424,59,29/12/24,29/01/25,02/02/25,5673.16,Received
425,45,14/09/23,04/10/23,06/10/23,36923.55,Received
426,62,23/12/22,24/01/23,23/01/23,62313.4,Received
427,15,03/11/23,14/11/23,16/11/23,8159.14,Received
428,41,28/08/23,12/09/23,16/09/23,47406.36,Received
429,35,23/08/23,09/09/23,07/09/23,20473.02,Received
430,42,25/10/22,12/11/22,10/11/22,69761.43,Received
431,61,18/11/24,09/12/24,09/12/24,45299.34,Shipped
432,44,13/10/23,10/11/23,10/11/23,15320.8,Cancelled
433,32,22/09/22,27/09/22,27/09/22,10254.1,Approved
434,35,30/10/24,16/11/24,15/11/24,42958.45,Received
435,39,27/06/24,07/07/24,07/07/24,23886.96,Shipped
436,46,22/01/23,03/03/23,13/03/23,76235.9,Approved
437,8,04/12/22,22/12/22,22/12/22,65640.12,Received
438,11,17/03/22,29/03/22,30/03/22,10718.77,Pending
439,50,23/04/24,03/06/24,04/06/24,67360.67,Approved
440,10,17/09/24,08/10/24,08/10/24,81398.84,Received
441,29,04/12/23,11/01/24,10/01/24,50147,Pending
442,54,28/10/24,17/11/24,19/11/24,72696.12,Shipped
443,9,23/01/24,21/02/24,21/02/24,46861.37,Received
444,72,13/02/23,15/03/23,14/03/23,5021.97,Approved
445,9,13/07/23,11/08/23,09/08/23,47674.95,Received
446,29,02/12/22,09/01/23,08/01/23,88455.44,Shipped
447,25,01/06/23,13/07/23,17/07/23,56910.15,Pending
448,54,04/01/23,24/01/23,23/01/23,6241.72,Pending
449,31,21/02/23,19/03/23,19/03/23,9670.14,Shipped
