InventoryID,ProductID,WarehouseID,QuantityOnHand,ReorderPoint,SafetyStock,LastStocktakeDate,InventoryValue
112,62,1,75,93,83,31/08/25,31000.5
113,368,1,610,196,80,31/08/25,32519.1
114,17,1,883,109,131,31/08/25,197509.44
115,4,1,1357,58,129,31/08/25,68786.33
116,334,1,265,52,38,31/08/25,97421.95
117,78,1,107,185,140,31/08/25,48267.7
118,71,1,1256,73,95,31/08/25,606133.04
119,130,1,848,231,32,31/08/25,423991.52
120,272,1,244,280,116,31/08/25,75637.56
121,268,1,1480,145,137,31/08/25,401257.6
122,110,1,945,297,31,31/08/25,78359.4
123,221,1,109,98,52,31/08/25,33155.62
124,284,1,1056,194,150,31/08/25,51976.32
125,80,1,748,123,117,31/08/25,136644.64
126,230,1,88,145,74,31/08/25,40429.84
127,83,1,1228,276,73,31/08/25,358440.92
128,322,1,1136,215,102,31/08/25,341447.52
129,298,1,312,152,66,31/08/25,111571.2
130,15,1,137,176,117,31/08/25,28379.55
131,217,1,393,88,20,31/08/25,30044.85
132,249,1,12,300,134,31/08/25,2802
133,256,1,975,105,115,31/08/25,51987
134,345,1,752,128,99,31/08/25,33148.16
135,146,1,61,183,114,31/08/25,5809.03
136,250,1,1228,109,76,31/08/25,391118
137,37,1,1492,213,61,31/08/25,281137.56
138,381,1,1441,280,57,31/08/25,89803.12
139,25,1,1001,239,94,31/08/25,79739.66
140,337,1,792,138,110,31/08/25,390226.32
141,273,1,57,280,55,31/08/25,15486.33
142,155,1,50,271,73,31/08/25,9457.5
143,297,1,1201,55,107,31/08/25,470383.66
144,363,1,58,235,41,31/08/25,3227.12
145,340,1,491,209,87,31/08/25,23754.58
146,119,1,1017,236,70,31/08/25,56840.13
147,264,1,780,252,128,31/08/25,234179.4
148,180,1,97,98,51,31/08/25,27514.05
149,319,1,1288,85,88,31/08/25,194591.04
150,59,1,878,125,103,31/08/25,208876.2
151,311,1,690,111,90,31/08/25,93964.2
152,278,1,285,206,135,31/08/25,118283.55
153,41,1,938,148,121,31/08/25,375134.34
154,167,1,407,293,95,31/08/25,18400.47
155,397,1,461,64,113,31/08/25,104559.41
156,233,1,1376,93,50,31/08/25,123606.08
157,385,1,620,122,97,31/08/25,7012.2
158,186,1,1090,240,87,31/08/25,513433.6
159,371,1,626,282,63,31/08/25,40258.06
160,270,1,1112,220,31,31/08/25,61938.4
161,318,1,1412,223,20,31/08/25,254442.4
162,227,1,1064,107,63,31/08/25,77735.84
163,45,1,613,88,71,31/08/25,79346.72
164,289,1,1070,264,136,31/08/25,212844.4
165,89,1,1446,137,114,31/08/25,225084.36
166,361,1,885,197,148,31/08/25,80296.05
167,114,1,944,121,64,31/08/25,333534.08
168,326,1,250,252,27,31/08/25,5947.5
169,50,1,112,75,120,31/08/25,8831.2
170,30,1,223,207,138,31/08/25,96802.07
171,26,1,905,157,82,31/08/25,32417.1
172,374,1,744,164,95,31/08/25,51380.64
173,165,1,379,273,109,31/08/25,48909.95
174,144,1,184,119,98,31/08/25,24023.04
175,240,1,508,210,60,31/08/25,100512.88
176,73,1,1380,142,28,31/08/25,61768.8
177,204,1,352,273,137,31/08/25,37547.84
178,64,1,559,79,92,31/08/25,10783.11
179,149,1,1154,236,82,31/08/25,256961.18
180,300,1,771,136,128,31/08/25,331568.55
181,28,1,1098,59,88,31/08/25,124743.78
182,137,1,1021,140,122,31/08/25,32018.56
183,8,1,410,77,116,31/08/25,180933
184,213,1,646,230,30,31/08/25,78166
185,328,1,275,137,22,31/08/25,52230.75
186,10,1,286,133,49,31/08/25,117594.62
187,310,1,631,243,106,31/08/25,36156.3
188,212,1,1332,245,59,31/08/25,73180.08
189,294,1,966,60,117,31/08/25,261312.66
190,12,1,373,189,124,31/08/25,109061.47
191,54,1,349,121,90,31/08/25,50587.55
192,392,1,350,132,135,31/08/25,155526
193,156,1,632,179,83,31/08/25,303650.72
194,220,1,760,253,129,31/08/25,82384
195,79,1,1097,271,95,31/08/25,141293.6
196,82,1,242,195,148,31/08/25,31232.52
197,143,1,477,257,139,31/08/25,130850.64
198,191,1,731,185,96,31/08/25,352663.64
199,376,1,1289,250,109,31/08/25,448945.81
200,18,1,550,182,83,31/08/25,183485.5
201,218,1,1041,139,30,31/08/25,136600.02
202,138,1,135,206,99,31/08/25,56752.65
203,315,1,992,198,109,31/08/25,341952.32
204,267,1,497,171,75,31/08/25,177190.44
205,390,1,99,197,50,31/08/25,43919.37
206,39,1,1110,222,31,31/08/25,244877.1
207,57,1,1075,196,22,31/08/25,292711.75
208,347,1,1177,295,138,31/08/25,51540.83
209,354,1,598,234,141,31/08/25,82739.28
210,151,1,262,206,98,31/08/25,43837.84
211,158,1,1288,113,22,31/08/25,116512.48
212,364,1,192,269,80,31/08/25,7027.2
213,174,1,1445,265,93,31/08/25,43378.9
214,29,1,1292,197,136,31/08/25,633674.32
215,171,1,275,92,74,31/08/25,34281.5
216,365,1,746,211,91,31/08/25,286396.86
217,350,1,1176,193,29,31/08/25,333431.28
218,323,1,317,156,120,31/08/25,17298.69
219,148,1,342,202,67,31/08/25,34063.2
220,362,1,1304,142,120,31/08/25,584531.04
221,239,1,36,108,50,31/08/25,13939.92
222,169,1,1151,270,109,31/08/25,47329.12
223,162,1,158,221,74,31/08/25,32917.72
224,205,1,1262,253,59,31/08/25,358584.68
225,335,1,447,288,59,31/08/25,146271.81
226,154,1,1255,243,112,31/08/25,48041.4
227,295,1,870,198,53,31/08/25,54296.7
228,244,1,493,113,78,31/08/25,108538.88
229,127,1,832,255,109,31/08/25,107943.68
230,125,1,196,229,36,31/08/25,25015.48
231,206,1,54,184,101,31/08/25,6094.44
232,261,1,1352,191,127,31/08/25,312974.48
233,245,1,307,108,128,31/08/25,95246.75
234,153,1,459,234,131,31/08/25,118871.82
235,100,1,1437,83,50,31/08/25,714677.58
236,258,1,896,290,149,31/08/25,252788.48
237,91,1,9,85,74,31/08/25,2787.75
238,290,1,393,208,53,31/08/25,99149.97
239,291,1,109,223,141,31/08/25,23252.97
240,225,1,1297,64,45,31/08/25,496569.42
241,327,1,633,276,145,31/08/25,109939.44
242,329,1,988,130,92,31/08/25,474763.64
243,198,1,8,137,131,31/08/25,1072.72
244,163,1,105,167,97,31/08/25,27414.45
245,398,1,201,283,25,31/08/25,42031.11
246,388,1,124,217,140,31/08/25,52915.76
247,189,1,1446,133,82,31/08/25,201297.66
248,122,1,841,122,102,31/08/25,35086.52
249,145,1,1471,253,80,31/08/25,39643.45
250,6,1,646,93,74,31/08/25,189497.64
251,320,1,156,128,101,31/08/25,69092.4
252,131,1,470,171,56,31/08/25,80699
253,277,1,125,96,96,31/08/25,41718.75
254,7,1,904,294,59,31/08/25,50515.52
255,333,1,1375,118,90,31/08/25,14630
256,90,1,1435,295,76,31/08/25,681538.9
257,99,1,1072,294,21,31/08/25,488081.6
258,357,1,572,126,133,31/08/25,107152.76
259,303,1,878,138,103,31/08/25,244768.84
260,77,1,1266,131,123,31/08/25,434427.9
261,178,1,1384,182,112,31/08/25,34503.12
262,219,1,690,218,83,31/08/25,132273
263,257,1,1288,271,73,31/08/25,76159.44
264,265,1,1242,156,118,31/08/25,108799.2
265,1,1,781,221,96,31/08/25,344444.43
266,20,1,411,107,104,31/08/25,143726.7
267,27,1,531,143,109,31/08/25,4205.52
268,377,1,673,62,77,31/08/25,102706.53
269,49,1,973,155,111,31/08/25,469881.16
270,283,1,516,71,124,31/08/25,180249.12
271,70,1,207,88,65,31/08/25,88747.11
272,43,1,715,166,123,31/08/25,284212.5
273,179,1,1432,148,139,31/08/25,667354.96
274,372,1,784,233,119,31/08/25,387029.44
275,94,1,809,293,46,31/08/25,86999.86
276,235,1,135,292,105,31/08/25,62739.9
277,243,1,706,150,83,31/08/25,185642.7
278,188,1,237,223,117,31/08/25,35258.49
279,313,1,394,149,126,31/08/25,60254.42
280,175,1,171,155,112,31/08/25,31816.26
281,255,1,1367,217,32,31/08/25,85369.15
282,400,1,1223,227,112,31/08/25,470696.01
283,172,1,1059,285,123,31/08/25,509940.27
284,383,1,30,55,141,31/08/25,1843.2
285,287,1,602,165,28,31/08/25,227230.92
286,96,1,98,179,32,31/08/25,16196.46
287,72,1,540,274,47,31/08/25,195809.4
288,271,1,364,163,39,31/08/25,157728.48
289,32,1,1152,284,87,31/08/25,376496.64
290,108,1,1156,145,144,31/08/25,503530.48
291,61,1,777,57,55,31/08/25,258725.46
292,231,1,188,297,61,31/08/25,35656.08
293,200,1,23,206,47,31/08/25,1451.76
294,76,1,515,85,70,31/08/25,64828.2
295,379,1,837,136,69,31/08/25,412239.24
296,395,1,1375,98,34,31/08/25,584622.5
297,51,1,713,68,89,31/08/25,137815.77
298,370,1,914,266,138,31/08/25,389683.9
299,394,1,490,160,119,31/08/25,163434.6
300,355,1,1084,209,85,31/08/25,281905.04
301,135,1,1460,245,139,31/08/25,470674.8
302,209,1,484,173,22,31/08/25,45176.56
303,252,1,1268,116,91,31/08/25,488978.84
304,234,1,687,149,88,31/08/25,309926.31
305,228,1,198,87,88,31/08/25,61544.34
306,344,1,910,106,66,31/08/25,32022.9
307,288,1,173,239,69,31/08/25,48254.89
308,166,1,380,91,50,31/08/25,179018
309,325,1,337,125,105,31/08/25,118549.86
310,232,1,216,139,129,31/08/25,107110.08
311,185,1,723,153,63,31/08/25,130407.51
312,95,1,1184,282,53,31/08/25,322533.44
313,140,1,1301,238,128,31/08/25,506362.21
314,341,1,282,161,100,31/08/25,119192.94
315,214,1,1319,99,145,31/08/25,203614.03
316,13,1,72,195,74,31/08/25,32418
317,276,1,564,270,59,31/08/25,212148.6
318,84,1,132,91,113,31/08/25,57928.2
319,164,1,1104,233,113,31/08/25,288651.84
320,343,1,9,106,109,31/08/25,2558.7
321,216,1,1097,289,93,31/08/25,231554.76
322,47,2,572,237,124,31/08/25,88442.64
323,119,2,367,188,123,31/08/25,20511.63
324,266,2,293,128,76,31/08/25,21265.94
325,217,2,386,125,124,31/08/25,29509.7
326,397,2,1383,290,122,31/08/25,313678.23
327,41,2,538,193,22,31/08/25,215162.34
328,243,2,41,108,144,31/08/25,10780.95
329,249,2,910,53,99,31/08/25,212485
330,128,2,517,173,48,31/08/25,154867.35
331,58,2,1281,245,148,31/08/25,151567.92
332,79,2,1461,172,82,31/08/25,188176.8
333,314,2,1067,106,74,31/08/25,249368.57
334,146,2,47,51,62,31/08/25,4475.81
335,339,2,712,255,87,31/08/25,87284.08
336,111,2,353,282,106,31/08/25,49497.66
337,307,2,9,275,33,31/08/25,4042.44
338,228,2,302,192,36,31/08/25,93870.66
339,256,2,1100,219,115,31/08/25,58652
340,232,2,280,68,20,31/08/25,138846.4
341,50,2,125,159,49,31/08/25,9856.25
342,53,2,256,173,62,31/08/25,10792.96
343,238,2,718,221,104,31/08/25,14115.88
344,226,2,137,111,136,31/08/25,62865.19
345,7,2,701,113,98,31/08/25,39171.88
346,359,2,455,217,31,31/08/25,8458.45
347,104,2,740,253,96,31/08/25,133222.2
348,368,2,611,266,102,31/08/25,32572.41
349,341,2,75,236,38,31/08/25,31700.25
350,179,2,104,58,46,31/08/25,48467.12
351,148,2,139,196,99,31/08/25,13844.4
352,12,2,1062,108,141,31/08/25,310518.18
353,135,2,1026,130,93,31/08/25,330761.88
354,101,2,425,223,53,31/08/25,97121
355,376,2,1450,76,59,31/08/25,505020.5
356,389,2,214,182,31,31/08/25,20441.28
357,182,2,288,284,32,31/08/25,118575.36
358,131,2,1388,218,94,31/08/25,238319.6
359,231,2,928,144,65,31/08/25,176004.48
360,62,2,142,155,38,31/08/25,58694.28
361,241,2,744,294,97,31/08/25,35868.24
362,357,2,551,121,82,31/08/25,103218.83
363,374,2,874,282,36,31/08/25,60358.44
364,362,2,1152,259,62,31/08/25,516395.52
365,267,2,844,62,138,31/08/25,300902.88
366,31,2,591,141,137,31/08/25,222948.84
367,366,2,370,285,66,31/08/25,167950.4
368,158,2,1077,156,112,31/08/25,97425.42
369,120,2,71,84,105,31/08/25,26869.95
370,245,2,979,255,113,31/08/25,303734.75
371,91,2,1418,163,141,31/08/25,439225.5
372,85,2,708,263,135,31/08/25,308581.8
373,398,2,419,106,56,31/08/25,87617.09
374,211,2,751,279,117,31/08/25,73823.3
375,372,2,112,228,47,31/08/25,55289.92
376,100,2,1226,119,130,31/08/25,609738.84
377,144,2,262,265,133,31/08/25,34206.72
378,222,2,1324,259,95,31/08/25,178038.28
379,142,2,632,82,115,31/08/25,195496.56
380,283,2,309,250,57,31/08/25,107939.88
381,42,2,171,149,30,31/08/25,21284.37
382,365,2,549,274,144,31/08/25,210766.59
383,134,2,395,131,106,31/08/25,154117.15
384,81,2,168,204,84,31/08/25,62808.48
385,242,2,118,268,102,31/08/25,6026.26
386,293,2,1213,193,118,31/08/25,427461.2
387,161,2,950,81,134,31/08/25,382669.5
388,248,2,710,220,60,31/08/25,290503.6
389,52,2,342,116,44,31/08/25,164245.5
390,370,2,801,126,75,31/08/25,341506.35
391,49,2,860,174,83,31/08/25,415311.2
392,56,2,1076,279,38,31/08/25,404285.48
393,193,2,406,212,105,31/08/25,86011.1
394,11,2,382,225,23,31/08/25,68309.24
395,340,2,837,169,50,31/08/25,40494.06
396,246,2,1105,167,110,31/08/25,246315.55
397,139,2,429,250,69,31/08/25,101763.09
398,327,2,945,126,114,31/08/25,164127.6
399,170,2,1210,186,72,31/08/25,522042.4
400,330,2,961,258,59,31/08/25,284965.33
401,108,2,15,129,125,31/08/25,6533.7
402,178,2,36,259,127,31/08/25,897.48
403,239,2,330,111,62,31/08/25,127782.6
404,29,2,1003,108,110,31/08/25,491931.38
405,295,2,1191,110,81,31/08/25,74330.31
406,333,2,956,259,145,31/08/25,10171.84
407,136,2,652,150,56,31/08/25,91299.56
408,83,2,982,91,57,31/08/25,286635.98
409,210,2,1132,184,64,31/08/25,383046.16
410,276,2,49,102,70,31/08/25,18431.35
411,342,2,75,297,113,31/08/25,14149.5
412,299,2,703,254,138,31/08/25,58257.61
413,273,2,535,167,87,31/08/25,145354.15
414,343,2,1384,60,52,31/08/25,393471.2
415,279,2,1401,154,121,31/08/25,76060.29
416,363,2,1405,256,146,31/08/25,78174.2
417,34,2,1028,66,35,31/08/25,314146.52
418,107,2,171,299,31,31/08/25,79497.9
419,395,2,635,58,77,31/08/25,269989.3
420,6,2,742,284,92,31/08/25,217658.28
421,175,2,1479,183,38,31/08/25,275182.74
422,45,2,1285,160,46,31/08/25,166330.4
423,92,2,1393,158,47,31/08/25,260254.19
424,216,2,834,177,129,31/08/25,176040.72
425,17,2,273,192,31,31/08/25,61064.64
426,38,2,309,249,82,31/08/25,137915.97
427,115,2,445,291,27,31/08/25,103498.1
428,393,2,358,77,114,31/08/25,156521.18
429,129,2,326,184,142,31/08/25,109822.88
430,247,2,856,217,68,31/08/25,412985.76
431,206,2,1484,197,54,31/08/25,167484.24
432,312,2,1281,178,83,31/08/25,536457.18
433,282,2,67,192,103,31/08/25,3492.04
434,55,2,755,296,29,31/08/25,46666.55
435,109,2,152,63,44,31/08/25,32348.64
436,281,2,1360,92,120,31/08/25,62288
437,271,2,627,167,69,31/08/25,271691.64
438,59,2,210,116,97,31/08/25,49959
439,77,2,1219,223,25,31/08/25,418299.85
440,16,2,1239,50,89,31/08/25,355233.69
441,230,2,387,182,125,31/08/25,177799.41
442,332,2,1453,129,144,31/08/25,108422.86
443,90,2,422,190,37,31/08/25,200424.68
444,229,2,535,210,104,31/08/25,142877.1
445,73,2,981,170,142,31/08/25,43909.56
446,252,2,197,52,120,31/08/25,75969.11
447,25,2,904,159,46,31/08/25,72012.64
448,187,2,779,292,83,31/08/25,363933.22
449,313,2,1145,107,111,31/08/25,175104.85
450,329,2,418,272,55,31/08/25,200861.54
451,106,2,1069,140,66,31/08/25,408881.81
452,160,2,731,166,121,31/08/25,360119.84
453,145,2,1012,258,121,31/08/25,27273.4
454,103,2,26,119,21,31/08/25,9712.82
455,387,2,889,171,65,31/08/25,389115.3
456,334,2,932,269,33,31/08/25,342631.16
457,1,2,1278,169,21,31/08/25,563636.34
458,202,2,1243,58,79,31/08/25,470599.8
459,78,2,889,246,37,31/08/25,401027.9
460,205,2,692,99,72,31/08/25,196624.88
461,364,2,1319,102,49,31/08/25,48275.4
462,400,2,35,167,126,31/08/25,13470.45
463,335,2,536,168,41,31/08/25,175395.28
464,121,2,415,149,50,31/08/25,67018.35
465,96,2,33,278,44,31/08/25,5453.91
466,13,2,1102,193,76,31/08/25,496175.5
467,315,2,610,84,69,31/08/25,210273.1
468,164,2,6,116,85,31/08/25,1568.76
469,326,2,109,183,85,31/08/25,2593.11
470,30,2,206,54,117,31/08/25,89422.54
471,61,2,1304,187,84,31/08/25,434205.92
472,201,2,1312,128,44,31/08/25,648744.64
473,2,2,791,259,83,31/08/25,323890.77
474,76,2,1328,174,144,31/08/25,167168.64
475,65,2,1498,137,138,31/08/25,743262.66
476,149,2,97,103,131,31/08/25,21598.99
477,347,2,1459,197,26,31/08/25,63889.61
478,184,2,434,130,21,31/08/25,46711.42
479,388,2,271,274,46,31/08/25,115646.54
480,9,2,912,252,92,31/08/25,360012
481,177,2,1398,140,103,31/08/25,279572.04
482,87,2,1249,95,44,31/08/25,241818.89
483,253,2,225,299,92,31/08/25,108681.75
484,46,2,365,128,115,31/08/25,89308.2
485,196,2,1260,160,37,31/08/25,122434.2
486,188,2,874,275,42,31/08/25,130024.98
487,194,2,68,291,23,31/08/25,652.12
488,57,2,785,108,44,31/08/25,213747.65
489,348,2,335,128,82,31/08/25,153269.2
490,336,2,171,250,72,31/08/25,81407.97
491,197,2,1323,175,33,31/08/25,344059.38
492,70,2,1480,170,131,31/08/25,634520.4
493,310,2,836,215,124,31/08/25,47902.8
494,157,2,1386,79,134,31/08/25,313111.26
495,289,2,1386,72,146,31/08/25,275703.12
496,311,2,976,272,94,31/08/25,132911.68
497,396,2,1322,163,90,31/08/25,39554.24
498,298,2,619,215,73,31/08/25,221354.4
499,189,2,1402,89,127,31/08/25,195172.42
500,385,2,1287,197,61,31/08/25,14555.97
501,306,2,840,163,138,31/08/25,224498.4
502,130,2,1435,84,132,31/08/25,717485.65
503,324,2,265,236,62,31/08/25,124001.45
504,74,2,699,218,45,31/08/25,221876.58
505,275,2,1002,185,80,31/08/25,75520.74
506,254,2,1282,296,67,31/08/25,243823.58
507,140,2,1227,290,134,31/08/25,477560.67
508,236,2,489,181,48,31/08/25,60650.67
509,155,2,925,298,45,31/08/25,174963.75
510,286,2,422,294,150,31/08/25,46614.12
511,39,2,251,239,138,31/08/25,55373.11
512,302,2,149,245,55,31/08/25,17206.52
513,377,2,309,166,85,31/08/25,47156.49
514,303,2,282,139,117,31/08/25,78615.96
515,192,2,203,62,26,31/08/25,33287.94
516,199,2,489,232,26,31/08/25,160670.73
517,380,2,1094,292,115,31/08/25,143992.28
518,321,2,398,108,64,31/08/25,109266.92
519,169,2,1261,280,136,31/08/25,51852.32
520,225,2,1246,149,143,31/08/25,477043.56
521,14,2,540,126,110,31/08/25,117984.6
522,118,2,707,139,137,31/08/25,30266.67
523,33,2,1240,68,106,31/08/25,83675.2
524,290,2,1014,75,78,31/08/25,255822.06
525,27,2,970,149,104,31/08/25,7682.4
526,356,2,559,151,138,31/08/25,56134.78
527,54,2,1008,116,81,31/08/25,146109.6
528,263,2,1068,197,23,31/08/25,76148.4
529,64,2,648,275,122,31/08/25,12499.92
530,172,2,1117,296,34,31/08/25,537869.01
531,137,2,1407,225,111,31/08/25,44123.52
532,112,2,845,106,119,31/08/25,283269.35
533,102,2,1059,266,34,31/08/25,353949.57
534,98,2,908,124,81,31/08/25,293692.6
535,80,2,462,94,111,31/08/25,84398.16
536,219,2,1097,247,93,31/08/25,210294.9
537,48,2,204,133,124,31/08/25,88717.56
538,323,2,300,180,62,31/08/25,16371
539,274,2,1032,70,68,31/08/25,474503.28
540,88,2,941,189,129,31/08/25,107819.78
541,318,2,22,193,46,31/08/25,3964.4
542,361,2,1390,158,49,31/08/25,126114.7
543,24,2,582,163,32,31/08/25,71836.26
544,280,2,180,282,123,31/08/25,18927
545,176,2,1385,188,71,31/08/25,271792.4
546,378,2,897,113,34,31/08/25,446786.73
547,114,2,255,135,92,31/08/25,90096.6
548,123,2,297,281,123,31/08/25,88823.79
549,268,2,126,87,80,31/08/25,34161.12
550,367,2,1206,171,134,31/08/25,325185.84
551,183,2,1500,128,138,31/08/25,119940
552,316,2,1315,157,73,31/08/25,295217.5
553,143,2,788,60,47,31/08/25,216164.16
554,37,2,580,77,23,31/08/25,109289.4
555,218,2,110,117,80,31/08/25,14434.2
556,159,2,352,251,66,31/08/25,96226.24
557,369,2,672,177,38,31/08/25,121544.64
558,5,2,986,282,75,31/08/25,220578.06
559,317,2,667,66,101,31/08/25,58796.05
560,373,2,529,151,131,31/08/25,168793.32
561,272,2,234,135,32,31/08/25,72537.66
562,258,2,773,205,61,31/08/25,218086.49
563,44,2,733,211,108,31/08/25,204485.01
564,301,2,78,290,128,31/08/25,12814.62
565,191,2,548,200,45,31/08/25,264377.12
566,322,2,285,173,124,31/08/25,85662.45
567,72,2,1235,197,144,31/08/25,447823.35
568,171,2,321,112,52,31/08/25,40015.86
569,180,2,1254,121,52,31/08/25,355697.1
570,3,2,956,223,77,31/08/25,138113.32
571,125,2,1426,78,147,31/08/25,182000.38
572,32,2,852,90,86,31/08/25,278450.64
573,8,2,608,121,118,31/08/25,268310.4
574,351,2,398,197,121,31/08/25,121963.12
575,278,2,861,97,86,31/08/25,357340.83
576,84,2,1135,53,54,31/08/25,498094.75
577,349,2,447,85,112,31/08/25,176269.98
578,150,2,1306,262,47,31/08/25,476572.46
579,162,2,1462,63,40,31/08/25,304593.08
580,234,2,871,189,53,31/08/25,392934.23
581,223,2,593,218,145,31/08/25,124470.7
582,309,2,408,238,35,31/08/25,189063.12
583,251,2,556,131,23,31/08/25,113090.4
584,319,2,1160,228,102,31/08/25,175252.8
585,300,2,760,117,71,31/08/25,326838
586,262,2,748,262,35,31/08/25,46031.92
587,71,2,1382,61,34,31/08/25,666939.38
588,124,2,245,232,143,31/08/25,74597.6
589,198,2,189,210,44,31/08/25,25343.01
590,26,2,468,104,119,31/08/25,16763.76
591,168,2,299,255,64,31/08/25,133069.95
592,337,2,247,52,53,31/08/25,121699.37
593,270,2,95,265,57,31/08/25,5291.5
594,152,2,1449,109,31,31/08/25,37630.53
595,203,2,1120,261,149,31/08/25,465068.8
596,28,2,40,203,101,31/08/25,4544.4
597,240,2,194,159,63,31/08/25,38384.84
