OrderID,CustomerID,OrderDate,RequiredDate,ShippedDate,OrderStatus,OrderValue,Priority,SalesRepID
90,649,17/11/23,22/11/23,20/11/23,Delivered,25242.94,Low,2
91,303,12/01/22,17/01/22,16/01/22,Shipped,29911.84,Low,64
92,233,25/01/23,22/02/23,28/01/23,Delivered,31954.33,High,87
93,1067,10/03/24,24/03/24,13/03/24,Shipped,8335.53,Medium,93
94,258,03/11/22,04/11/22,07/11/22,Delivered,30440.4,Medium,82
95,1185,08/10/22,23/10/22,14/10/22,Delivered,26452.65,Low,13
96,448,18/01/22,20/01/22,,Processing,21403.23,High,96
97,1119,21/12/23,28/12/23,25/12/23,Delivered,3534.36,Medium,100
98,774,08/08/24,14/08/24,13/08/24,Shipped,4945.75,Low,28
99,392,25/10/24,06/11/24,27/10/24,Delivered,15129.57,High,87
100,759,01/10/23,20/10/23,02/10/23,Delivered,49628.9,High,47
101,629,02/03/24,03/03/24,05/03/24,Delivered,2435.52,Low,65
102,256,24/01/24,20/02/24,,Processing,4557.86,High,90
103,934,01/11/24,17/11/24,07/11/24,Delivered,14176.62,Low,53
104,721,09/10/22,23/10/22,,Processing,21439.49,Medium,46
105,1111,17/11/23,14/12/23,,Pending,20651.05,Low,55
106,688,24/10/23,10/11/23,31/10/23,Delivered,25475.68,Medium,15
107,940,14/08/22,13/09/22,16/08/22,Delivered,15102.32,Low,55
108,1133,30/04/23,12/05/23,02/05/23,Delivered,38587.22,Low,77
109,893,22/12/22,28/12/22,27/12/22,Shipped,14574.94,Medium,49
110,896,12/08/22,22/08/22,19/08/22,Delivered,19803.59,High,82
111,204,21/11/23,01/12/23,27/11/23,Delivered,43459.5,Medium,12
112,213,28/07/24,23/08/24,,Processing,2949.15,Low,12
113,843,10/03/23,31/03/23,11/03/23,Shipped,4349.2,Low,14
114,1116,04/05/23,20/05/23,,Cancelled,14015.98,Low,13
115,1031,10/03/24,31/03/24,14/03/24,Delivered,5169.88,Medium,75
116,594,21/04/23,17/05/23,22/04/23,Delivered,388.48,Medium,54
117,932,12/06/22,19/06/22,14/06/22,Delivered,10039.26,Medium,71
118,235,09/06/23,22/06/23,,Processing,12716.32,Medium,26
119,255,28/06/23,26/07/23,02/07/23,Shipped,20002.06,Low,45
120,846,19/05/23,14/06/23,23/05/23,Delivered,10897.65,Low,83
121,811,12/06/24,05/07/24,19/06/24,Delivered,970.82,Critical,1
122,459,12/07/22,24/07/22,19/07/22,Delivered,4568.32,Low,65
123,549,16/09/23,26/09/23,,Pending,16174.06,High,85
124,850,29/10/24,07/11/24,01/11/24,Delivered,35133.74,Critical,87
125,9,17/07/22,25/07/22,,Cancelled,36903.86,High,54
126,54,05/11/22,07/11/22,06/11/22,Shipped,12978,Low,20
127,1063,06/12/22,01/01/23,09/12/22,Delivered,7795.28,Low,95
128,651,27/08/24,16/09/24,,Processing,27430.3,Medium,43
129,881,14/06/24,20/06/24,19/06/24,Delivered,11659.36,Medium,31
130,395,23/01/24,10/02/24,27/01/24,Delivered,16029.13,Low,79
131,106,25/07/22,15/08/22,29/07/22,Delivered,31311.9,Critical,74
132,264,07/06/22,21/06/22,,Processing,17130.69,Medium,82
133,356,12/04/23,25/04/23,18/04/23,Delivered,15202.01,Medium,52
134,1060,14/05/23,12/06/23,17/05/23,Delivered,10662.24,Medium,21
135,204,08/12/23,22/12/23,10/12/23,Shipped,5145.38,Low,91
136,1033,17/03/23,12/04/23,19/03/23,Delivered,7737.02,High,16
137,803,04/03/24,25/03/24,09/03/24,Delivered,10063.09,High,98
138,1133,31/05/22,21/06/22,03/06/22,Delivered,15401.32,Medium,21
139,191,01/04/24,12/04/24,03/04/24,Delivered,479.58,Medium,12
140,24,13/01/22,14/01/22,17/01/22,Delivered,19027.78,High,81
141,314,20/04/22,15/05/22,25/04/22,Delivered,1583.8,Low,4
142,1114,25/02/23,17/03/23,03/03/23,Shipped,41964.16,Low,11
143,52,01/05/22,20/05/22,05/05/22,Delivered,13459.2,Low,96
144,930,15/01/22,08/02/22,17/01/22,Delivered,6463.18,Medium,82
145,734,28/06/24,19/07/24,05/07/24,Shipped,18465.09,Medium,24
146,455,20/10/24,28/10/24,,Pending,37350.56,Low,39
147,503,25/05/22,01/06/22,30/05/22,Delivered,28922.67,Low,93
148,775,23/04/24,18/05/24,,Processing,21116.01,Medium,99
149,106,21/10/22,30/10/22,27/10/22,Delivered,9238.72,Low,36
150,48,24/10/24,27/10/24,26/10/24,Delivered,16399.64,Low,82
151,212,19/10/23,07/11/23,,Processing,7688.49,Medium,15
152,252,17/05/24,01/06/24,22/05/24,Delivered,13046.27,Medium,14
153,537,11/01/22,16/01/22,14/01/22,Delivered,9166.17,Critical,24
154,1013,16/05/24,19/05/24,17/05/24,Delivered,15671.16,Low,47
155,426,17/08/23,16/09/23,24/08/23,Delivered,1677.83,Low,51
156,45,14/06/24,18/06/24,18/06/24,Delivered,18802.03,Low,53
157,997,22/07/24,25/07/24,,Pending,5750.17,Critical,81
158,860,04/04/22,07/04/22,06/04/22,Delivered,36030.24,Medium,49
159,924,02/06/22,01/07/22,05/06/22,Delivered,18566.22,Low,21
160,612,11/04/24,17/04/24,,Processing,4674.75,Low,2
161,1162,04/09/24,03/10/24,06/09/24,Delivered,23180.87,Medium,81
162,65,11/06/24,01/07/24,18/06/24,Delivered,9125.23,Low,16
163,711,03/12/22,14/12/22,,Cancelled,34170.72,Medium,62
164,1120,09/06/23,29/06/23,14/06/23,Delivered,9961.27,Medium,1
165,522,24/09/22,30/09/22,29/09/22,Delivered,13143.15,Low,16
166,61,19/08/23,26/08/23,24/08/23,Shipped,25766.06,High,69
167,1061,20/10/22,21/10/22,,Pending,5287.72,Low,66
168,313,19/08/23,13/09/23,,Pending,38917.53,Low,28
169,236,24/01/22,21/02/22,27/01/22,Delivered,8997.64,Medium,28
170,284,18/02/22,19/02/22,21/02/22,Delivered,15844.19,Low,29
171,260,20/08/23,23/08/23,26/08/23,Delivered,13054.62,Medium,35
172,987,23/04/22,02/05/22,,Processing,2883.98,Medium,26
173,1130,28/08/24,31/08/24,31/08/24,Shipped,1571.3,Medium,84
174,1016,31/03/23,10/04/23,04/04/23,Delivered,21673,Low,56
175,396,02/01/22,19/01/22,06/01/22,Shipped,638.77,Medium,33
176,576,03/09/22,09/09/22,05/09/22,Delivered,10046.01,High,51
177,639,06/09/22,10/09/22,11/09/22,Delivered,24855.92,Low,22
178,422,26/02/23,24/03/23,,Processing,368.63,Medium,93
179,888,22/01/23,07/02/23,,Pending,27108.94,Medium,58
180,557,11/11/22,25/11/22,16/11/22,Delivered,14025.18,Medium,41
181,785,06/10/24,26/10/24,07/10/24,Shipped,24242.61,Medium,55
182,723,20/01/24,27/01/24,25/01/24,Delivered,24750.25,Medium,48
183,132,23/01/24,21/02/24,29/01/24,Delivered,17814.66,Low,58
184,70,22/02/24,28/02/24,,Cancelled,6967.83,High,66
185,840,14/09/24,23/09/24,,Processing,20154.81,Low,38
186,1087,23/06/23,13/07/23,,Processing,5276.02,Low,46
187,62,20/12/24,02/01/25,,Processing,31133.36,Medium,15
188,661,03/09/22,09/09/22,,Processing,10079.91,Low,55
189,733,13/11/24,09/12/24,15/11/24,Delivered,7584.94,Low,32
190,762,05/11/22,08/11/22,07/11/22,Delivered,31151.62,Low,48
191,644,25/03/22,30/03/22,,Processing,37887.05,Medium,16
192,23,01/01/23,02/01/23,04/01/23,Delivered,1409.06,High,92
193,954,30/01/23,10/02/23,01/02/23,Delivered,24654.41,High,73
194,477,09/10/24,04/11/24,12/10/24,Shipped,23973.22,Low,72
195,581,03/04/22,06/04/22,07/04/22,Delivered,3144.26,High,78
196,1080,17/02/22,24/02/22,,Cancelled,7290.12,Medium,28
197,570,15/06/22,19/06/22,20/06/22,Shipped,28389.9,High,92
198,154,15/04/23,05/05/23,22/04/23,Shipped,804.31,High,74
199,864,02/01/23,31/01/23,08/01/23,Delivered,627.21,Medium,88
200,651,18/07/22,12/08/22,22/07/22,Delivered,51171.76,High,41
201,404,11/04/23,18/04/23,,Processing,16506.32,High,7
202,1022,04/09/24,30/09/24,08/09/24,Delivered,11759.42,High,6
203,245,23/01/24,01/02/24,27/01/24,Shipped,19040.29,High,16
204,670,16/11/23,01/12/23,18/11/23,Shipped,14626.09,Low,76
205,1181,11/11/22,24/11/22,13/11/22,Delivered,18861.65,Low,3
206,1180,16/08/24,26/08/24,17/08/24,Shipped,32091.92,Critical,1
207,946,24/10/22,23/11/22,,Cancelled,13645.6,Medium,37
208,825,01/07/23,06/07/23,08/07/23,Delivered,749.55,Medium,5
209,1081,09/02/23,10/03/23,14/02/23,Shipped,5399.51,Low,6
210,34,18/10/22,29/10/22,24/10/22,Delivered,11478.34,High,9
211,851,20/09/24,06/10/24,21/09/24,Delivered,16054.41,High,93
212,563,24/05/24,03/06/24,,Processing,5456.07,Medium,41
213,709,13/05/24,07/06/24,,Processing,6814.32,Medium,52
214,642,01/08/24,04/08/24,06/08/24,Delivered,3061.82,High,64
215,806,06/12/24,26/12/24,07/12/24,Shipped,14010.2,Low,39
216,931,01/05/24,24/05/24,,Processing,11860.01,High,64
217,249,10/06/22,08/07/22,16/06/22,Delivered,18079.29,Low,48
218,211,11/06/22,01/07/22,,Processing,2940.95,Medium,4
219,98,05/05/23,13/05/23,,Processing,13762.55,High,2
220,662,22/05/24,27/05/24,23/05/24,Delivered,15520.55,Low,89
221,893,05/12/24,29/12/24,,Processing,2387.21,Critical,29
222,392,11/06/24,17/06/24,12/06/24,Shipped,5989.23,Low,93
223,756,04/05/22,02/06/22,11/05/22,Delivered,20707.94,High,69
224,108,14/04/23,15/04/23,,Cancelled,13109.22,High,34
225,89,06/03/24,04/04/24,13/03/24,Shipped,2347.84,Low,15
226,154,08/06/22,10/06/22,11/06/22,Delivered,16571.35,Medium,34
227,778,20/12/22,31/12/22,26/12/22,Delivered,7401.65,High,35
228,349,20/05/22,12/06/22,,Processing,7214.41,Medium,18
229,944,20/04/24,09/05/24,,Pending,7415.89,Medium,16
230,654,22/01/23,27/01/23,,Processing,12116.16,Low,19
231,1197,26/06/23,21/07/23,,Processing,8197.1,Medium,53
232,251,12/06/23,03/07/23,16/06/23,Delivered,17350.7,Medium,67
233,493,01/12/24,18/12/24,,Cancelled,9605.21,Low,74
234,1004,21/10/23,06/11/23,27/10/23,Shipped,38221.85,High,36
235,989,29/11/23,10/12/23,06/12/23,Shipped,23877.5,Critical,29
236,541,01/06/22,04/06/22,,Pending,11120.92,Critical,99
237,170,30/10/24,09/11/24,,Pending,2190.13,High,46
238,497,06/10/24,24/10/24,13/10/24,Delivered,35573.79,Critical,85
239,422,24/02/23,17/03/23,,Processing,8804.12,Medium,89
240,154,25/08/23,28/08/23,,Cancelled,10544.87,Medium,64
241,27,13/08/23,15/08/23,15/08/23,Delivered,187.9,Medium,86
242,789,24/06/23,01/07/23,28/06/23,Delivered,9071.12,Medium,25
243,698,11/08/23,27/08/23,12/08/23,Delivered,8914.63,High,27
244,1081,09/09/22,06/10/22,,Pending,17824.49,Low,66
245,642,02/04/22,30/04/22,,Cancelled,4411.84,High,98
246,930,22/02/24,03/03/24,28/02/24,Delivered,542.03,Medium,84
247,1034,01/08/23,06/08/23,08/08/23,Shipped,10181.85,Low,14
248,449,30/04/24,30/05/24,02/05/24,Delivered,13765.37,Low,47
249,1052,07/06/24,20/06/24,11/06/24,Delivered,23920.42,Low,26
250,820,29/08/22,23/09/22,,Cancelled,19667.97,Critical,25
251,867,06/04/22,09/04/22,09/04/22,Delivered,23324.94,Medium,22
252,1183,01/02/23,23/02/23,04/02/23,Shipped,6163.7,High,83
253,945,11/08/22,15/08/22,13/08/22,Delivered,33916.19,Low,14
254,493,20/07/24,13/08/24,21/07/24,Delivered,871.44,High,3
255,384,01/02/23,02/03/23,05/02/23,Delivered,24385.16,Medium,35
256,1088,03/06/23,04/06/23,07/06/23,Delivered,6829.67,Medium,58
257,243,27/05/22,08/06/22,30/05/22,Delivered,3208.55,High,71
258,726,01/05/22,04/05/22,,Pending,11954.35,Low,56
259,813,24/09/24,01/10/24,26/09/24,Shipped,1590.32,High,65
260,1041,31/01/23,14/02/23,,Cancelled,20011.56,Low,43
261,559,19/07/24,21/07/24,23/07/24,Delivered,10131.42,Low,48
262,101,02/05/24,06/05/24,,Cancelled,371.62,High,84
263,866,02/06/22,15/06/22,08/06/22,Delivered,18238.23,Medium,25
264,825,20/05/23,30/05/23,22/05/23,Delivered,1091.7,Low,23
265,566,03/07/24,23/07/24,,Processing,9649.02,High,68
266,1063,27/08/23,16/09/23,31/08/23,Delivered,4336.94,Critical,56
267,103,16/10/24,20/10/24,,Cancelled,13742.49,Medium,83
268,450,07/04/23,15/04/23,08/04/23,Delivered,15077.49,High,15
269,1179,19/08/22,21/08/22,20/08/22,Delivered,15063.31,Low,35
270,1090,03/09/22,11/09/22,04/09/22,Delivered,10336.7,Low,13
271,464,28/03/24,06/04/24,,Cancelled,13417.52,Medium,80
272,829,09/05/22,01/06/22,15/05/22,Shipped,1056.1,Medium,51
273,451,01/02/24,14/02/24,02/02/24,Delivered,42034.52,Low,94
274,550,06/06/22,03/07/22,,Processing,990.25,Medium,64
275,417,13/03/24,20/03/24,15/03/24,Delivered,12855.86,High,45
276,590,02/02/24,23/02/24,05/02/24,Delivered,31485.55,High,94
277,380,11/04/23,12/04/23,12/04/23,Delivered,36195.03,Medium,65
278,977,01/03/22,31/03/22,07/03/22,Delivered,8171.39,Medium,95
279,489,27/04/22,07/05/22,,Processing,7509.12,Low,22
280,143,29/09/23,10/10/23,05/10/23,Delivered,3066.87,Medium,22
281,933,07/06/23,13/06/23,10/06/23,Delivered,35176.04,Low,19
282,972,13/10/23,14/10/23,,Processing,33848.57,Low,55
283,364,23/06/22,04/07/22,24/06/22,Shipped,558.45,Medium,34
284,350,10/06/22,09/07/22,11/06/22,Shipped,15715.23,Medium,87
285,20,04/06/22,29/06/22,11/06/22,Delivered,43222.57,Low,77
286,1195,26/09/22,08/10/22,30/09/22,Delivered,13018.53,High,1
287,507,14/01/22,30/01/22,21/01/22,Shipped,18169.15,Medium,61
288,36,29/06/24,03/07/24,30/06/24,Delivered,26682.64,High,73
289,596,02/04/23,24/04/23,,Processing,18638.67,High,30
290,343,18/04/24,05/05/24,23/04/24,Delivered,15962,Low,97
291,193,30/05/23,04/06/23,06/06/23,Delivered,9580.56,Critical,13
292,688,03/06/22,13/06/22,10/06/22,Delivered,14514.22,Low,58
293,719,01/08/23,17/08/23,07/08/23,Delivered,7530.97,Low,70
294,997,04/11/24,13/11/24,,Processing,5570.98,Low,33
295,940,30/05/23,11/06/23,,Processing,551.72,Low,2
296,723,02/03/24,29/03/24,,Processing,39243.25,Medium,39
297,684,02/05/23,25/05/23,,Processing,36265.12,Low,67
298,992,08/12/23,02/01/24,14/12/23,Delivered,28182.2,Medium,15
299,1064,15/01/22,24/01/22,21/01/22,Delivered,10107.82,Low,94
300,43,02/05/22,23/05/22,,Processing,10125.78,Low,19
301,452,07/03/22,21/03/22,,Processing,6606.58,Low,85
302,732,05/12/23,10/12/23,,Processing,17023.83,Low,64
303,501,24/10/23,25/10/23,,Processing,34754.57,Medium,74
304,883,10/07/22,03/08/22,16/07/22,Shipped,1471.26,Low,47
305,183,25/06/22,02/07/22,01/07/22,Delivered,17629.94,Medium,25
306,774,11/03/23,10/04/23,,Pending,39657.39,High,82
307,1116,09/04/23,13/04/23,12/04/23,Delivered,12888.6,Low,58
308,359,04/11/24,03/12/24,09/11/24,Delivered,3863.24,High,34
309,715,13/05/23,12/06/23,,Processing,17981.67,Low,43
310,855,18/02/24,02/03/24,23/02/24,Delivered,2612.26,Medium,36
311,391,10/10/22,20/10/22,,Processing,15482.39,Low,6
312,704,19/09/23,08/10/23,24/09/23,Shipped,76.55,Medium,79
313,932,02/12/22,06/12/22,06/12/22,Delivered,31241.54,Low,73
314,711,06/09/22,02/10/22,13/09/22,Delivered,8631.39,Medium,37
315,18,16/10/24,20/10/24,,Pending,7069.25,Low,64
316,302,25/10/22,24/11/22,31/10/22,Delivered,10891.76,High,60
317,1072,11/04/22,03/05/22,13/04/22,Delivered,22751.84,Medium,38
318,1144,18/02/23,10/03/23,,Processing,23042.34,Medium,86
319,998,07/11/24,13/11/24,10/11/24,Delivered,388.8,Low,37
320,604,24/03/24,27/03/24,31/03/24,Shipped,26317.71,Low,2
321,84,15/03/23,30/03/23,,Pending,11369.03,Low,28
322,253,03/03/22,13/03/22,10/03/22,Shipped,1866.07,Low,7
323,627,06/03/23,22/03/23,,Processing,43609.75,High,1
324,2,19/06/24,03/07/24,22/06/24,Delivered,15704.14,Medium,7
325,718,04/12/24,13/12/24,06/12/24,Delivered,27030.42,Medium,37
326,1029,25/10/23,20/11/23,,Processing,927.11,Medium,86
327,318,26/03/22,20/04/22,31/03/22,Delivered,17612.36,Medium,12
328,293,29/01/24,21/02/24,01/02/24,Delivered,12256.98,Low,94
329,1199,07/06/23,14/06/23,11/06/23,Shipped,4353.11,Low,11
330,66,16/12/23,26/12/23,18/12/23,Delivered,4911.71,Medium,61
331,510,20/03/23,19/04/23,23/03/23,Shipped,14371.82,Critical,87
332,866,21/02/23,14/03/23,25/02/23,Delivered,28032.67,Low,52
333,201,01/03/22,30/03/22,,Processing,18579.23,Low,34
334,637,11/02/23,13/03/23,14/02/23,Shipped,3806.34,Low,23
335,893,10/04/23,29/04/23,,Processing,14137.19,Low,87
336,661,23/10/22,21/11/22,,Processing,8431.88,High,75
337,409,25/04/22,30/04/22,,Processing,22737.21,Medium,33
338,1136,02/02/23,07/02/23,06/02/23,Delivered,6270.65,Critical,26
339,625,02/05/24,12/05/24,,Processing,5968.36,Low,11
340,1161,03/01/23,13/01/23,,Cancelled,32603.69,High,81
341,376,20/09/22,05/10/22,25/09/22,Delivered,6466.98,Low,49
342,895,28/06/22,24/07/22,,Processing,23441.9,Medium,13
343,906,27/04/22,02/05/22,02/05/22,Delivered,30681.48,Medium,89
344,733,21/08/22,01/09/22,26/08/22,Delivered,15204.13,Low,60
345,956,13/01/22,25/01/22,17/01/22,Delivered,12385.85,Low,54
346,57,23/09/24,07/10/24,27/09/24,Shipped,16170.38,Medium,72
347,863,25/07/22,26/07/22,01/08/22,Delivered,1969.28,Low,12
348,288,09/08/22,03/09/22,,Processing,16230.76,Medium,79
349,497,14/10/24,13/11/24,17/10/24,Shipped,30615.52,Medium,75
350,765,21/09/22,08/10/22,,Processing,6395.76,Medium,17
351,1159,04/04/22,24/04/22,09/04/22,Delivered,15654.44,Low,38
352,805,17/09/23,19/09/23,24/09/23,Shipped,17950.2,Low,17
353,13,19/02/22,04/03/22,,Processing,13597.89,Critical,60
354,1061,16/12/24,11/01/25,23/12/24,Shipped,2639.94,High,59
355,174,14/06/23,11/07/23,15/06/23,Shipped,598.12,Medium,8
356,220,22/02/22,03/03/22,01/03/22,Delivered,1611.02,Medium,43
357,596,13/04/22,03/05/22,14/04/22,Delivered,18929.47,Medium,73
358,679,04/12/22,20/12/22,10/12/22,Shipped,5813.52,High,8
359,1198,09/12/24,13/12/24,15/12/24,Delivered,539.28,Critical,87
360,109,03/04/24,20/04/24,,Processing,4708.69,Medium,90
361,296,15/11/24,22/11/24,20/11/24,Delivered,4819.64,Low,72
362,1015,02/07/23,26/07/23,,Processing,27736.24,Medium,18
363,317,11/12/22,19/12/22,17/12/22,Delivered,5286.99,High,39
364,637,04/03/23,25/03/23,,Processing,17824.41,High,93
365,994,25/01/23,24/02/23,26/01/23,Shipped,2407.7,Low,80
366,412,22/05/22,14/06/22,,Processing,16188.18,High,15
367,314,09/01/24,12/01/24,10/01/24,Delivered,21443.81,Medium,78
368,1065,29/12/22,27/01/23,30/12/22,Shipped,8604.25,High,13
369,213,08/09/24,16/09/24,10/09/24,Shipped,21790.16,High,61
370,1036,06/07/23,07/07/23,13/07/23,Delivered,18946.61,Low,57
371,250,04/07/23,17/07/23,05/07/23,Delivered,29141.4,Low,39
372,377,28/04/24,11/05/24,02/05/24,Delivered,8924.9,Medium,31
373,1120,26/01/22,22/02/22,02/02/22,Shipped,14224.09,High,34
374,900,21/05/24,17/06/24,26/05/24,Shipped,10682.4,Medium,85
375,886,07/06/23,27/06/23,08/06/23,Delivered,16807.58,Medium,19
376,45,09/08/24,30/08/24,,Processing,13494.55,High,24
377,493,10/02/22,15/02/22,17/02/22,Delivered,16093.23,Low,22
378,1120,26/06/22,13/07/22,,Processing,33400.65,High,26
379,594,18/01/24,03/02/24,22/01/24,Delivered,402.05,Medium,38
380,1010,28/03/22,19/04/22,29/03/22,Delivered,12220.51,High,48
381,564,17/11/23,09/12/23,,Processing,1657.53,Low,51
382,220,09/11/24,22/11/24,15/11/24,Shipped,30326,Medium,60
383,871,11/09/22,25/09/22,,Pending,6402.12,Medium,19
384,937,25/08/22,26/08/22,28/08/22,Delivered,4579.05,High,16
385,23,17/01/24,05/02/24,21/01/24,Shipped,1291.69,High,75
386,70,04/06/22,14/06/22,,Processing,5054.72,High,83
387,911,26/02/24,18/03/24,,Processing,11596.93,Low,6
388,286,23/12/24,22/01/25,26/12/24,Delivered,16761.34,Low,60
389,939,04/07/23,02/08/23,10/07/23,Shipped,2679.08,Medium,36
390,733,22/12/24,23/12/24,24/12/24,Delivered,10531.98,Medium,65
391,1031,29/10/23,26/11/23,05/11/23,Delivered,17056.66,Medium,27
