ShipmentID,OrderID,CarrierID,WarehouseID,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ShippingCost,ShipmentStatus,TrackingNumber
146,202,21,19,08/09/24,18/09/24,17/09/24,13.01,Delivered,TRK567581379
147,203,3,14,27/01/24,01/02/24,,24.07,In Transit,TRK353364210
148,204,13,14,18/11/23,21/11/23,,7.77,Delivered,TRK695949725
149,205,8,5,13/11/22,16/11/22,22/11/22,45.44,Delivered,TRK395459130
150,206,17,15,17/08/24,19/08/24,,30.66,Delivered,TRK907189929
151,208,7,1,08/07/23,18/07/23,20/07/23,24.92,Delivered,TRK274039193
152,209,25,14,14/02/23,17/02/23,,48.99,Delivered,TRK201491222
153,210,19,20,24/10/22,25/10/22,25/10/22,17.78,In Transit,TRK555715543
154,211,4,9,21/09/24,25/09/24,25/09/24,47.76,In Transit,TRK975022508
155,214,12,10,06/08/24,13/08/24,13/08/24,17.9,Delivered,TRK808560554
156,215,25,13,07/12/24,11/12/24,,42.42,In Transit,TRK489101699
157,217,11,2,16/06/22,21/06/22,21/06/22,46.91,Delivered,TRK113839422
158,220,24,12,23/05/24,31/05/24,31/05/24,21.4,Delivered,TRK624921766
159,222,19,14,12/06/24,14/06/24,,46.99,Delivered,TRK227424298
160,223,24,17,11/05/22,13/05/22,12/05/22,13.07,Delivered,TRK898472774
161,225,14,19,13/03/24,16/03/24,,13.66,In Transit,TRK622782590
162,226,15,19,11/06/22,15/06/22,15/06/22,22.77,Delivered,TRK161617271
163,227,23,19,26/12/22,05/01/23,07/01/23,14.25,Delivered,TRK940827010
164,232,17,1,16/06/23,18/06/23,18/06/23,21.78,Delivered,TRK557564781
165,234,18,4,27/10/23,04/11/23,,20.28,In Transit,TRK488136881
166,235,18,3,06/12/23,11/12/23,,16.06,In Transit,TRK982818348
167,238,2,7,13/10/24,15/10/24,17/10/24,41.83,In Transit,TRK520803988
168,241,5,17,15/08/23,21/08/23,25/08/23,25.52,Delivered,TRK250572304
169,242,14,12,28/06/23,03/07/23,05/07/23,7.6,In Transit,TRK221318196
170,243,10,16,12/08/23,15/08/23,16/08/23,36.99,Delivered,TRK880634651
171,246,11,14,28/02/24,02/03/24,03/03/24,9.05,Delivered,TRK493975773
172,247,5,4,08/08/23,18/08/23,,23.16,Delivered,TRK892081464
173,248,7,10,02/05/24,08/05/24,09/05/24,31.94,In Transit,TRK336988319
174,249,11,2,11/06/24,19/06/24,18/06/24,49.13,Delivered,TRK760995160
175,251,24,19,09/04/22,15/04/22,14/04/22,46.85,Delayed,TRK596543401
176,252,12,8,04/02/23,08/02/23,,45.92,Delivered,TRK280607032
177,253,8,17,13/08/22,19/08/22,21/08/22,18.01,Delivered,TRK667822971
178,254,5,15,21/07/24,22/07/24,22/07/24,36.92,Delivered,TRK647164862
179,255,13,3,05/02/23,06/02/23,06/02/23,48.22,In Transit,TRK838953067
180,256,11,15,07/06/23,11/06/23,12/06/23,40.94,Delivered,TRK866114924
181,257,17,16,30/05/22,03/06/22,03/06/22,14.64,In Transit,TRK472900238
182,259,11,15,26/09/24,28/09/24,,20.41,In Transit,TRK504418155
183,261,25,5,23/07/24,25/07/24,25/07/24,5.87,Delivered,TRK137985186
184,263,7,8,08/06/22,14/06/22,14/06/22,19.37,Delivered,TRK909662362
185,264,25,13,22/05/23,31/05/23,01/06/23,18.77,Delivered,TRK558506534
186,266,3,8,31/08/23,10/09/23,12/09/23,15.71,Delivered,TRK320274606
187,268,8,7,08/04/23,14/04/23,16/04/23,35.89,Delivered,TRK743636709
188,269,19,15,20/08/22,21/08/22,21/08/22,43.35,Delivered,TRK925737294
189,270,11,12,04/09/22,06/09/22,05/09/22,49.47,Delivered,TRK392746859
190,272,11,8,15/05/22,17/05/22,,48.83,Delivered,TRK379954924
191,273,24,9,02/02/24,12/02/24,11/02/24,44.18,Delivered,TRK605584523
192,275,7,2,15/03/24,21/03/24,23/03/24,45.02,Delivered,TRK698004061
193,276,7,5,05/02/24,07/02/24,14/02/24,37.63,Delivered,TRK775448714
194,277,20,5,12/04/23,19/04/23,20/04/23,6.22,Delivered,TRK765231648
195,278,2,14,07/03/22,14/03/22,13/03/22,35.87,Delivered,TRK874344741
196,280,24,1,05/10/23,15/10/23,15/10/23,26.64,Delivered,TRK162264295
197,281,21,14,10/06/23,15/06/23,17/06/23,41.15,Delivered,TRK268752966
198,283,6,8,24/06/22,02/07/22,,49.08,Delivered,TRK836950470
199,284,9,19,11/06/22,21/06/22,,36.28,Delivered,TRK694503475
200,285,5,9,11/06/22,15/06/22,19/06/22,38.63,In Transit,TRK418590995
201,286,13,4,30/09/22,01/10/22,02/10/22,33.65,In Transit,TRK397903421
202,287,1,15,21/01/22,24/01/22,,23.7,Delivered,TRK986582397
203,288,5,10,30/06/24,04/07/24,05/07/24,31.58,In Transit,TRK212067382
204,290,15,11,23/04/24,26/04/24,28/04/24,5.76,In Transit,TRK693197618
205,291,25,7,06/06/23,13/06/23,15/06/23,33.52,Delivered,TRK793876090
206,292,12,13,10/06/22,19/06/22,22/06/22,36.89,Delivered,TRK254409501
207,293,16,4,07/08/23,10/08/23,12/08/23,27.51,Delivered,TRK458434625
208,298,22,13,14/12/23,18/12/23,17/12/23,16.86,In Transit,TRK915210209
209,299,23,14,21/01/22,29/01/22,03/02/22,35.8,In Transit,TRK211872793
210,304,17,10,16/07/22,21/07/22,,41.46,In Transit,TRK451525482
211,305,8,20,01/07/22,09/07/22,08/07/22,8.18,Delivered,TRK383054428
212,307,14,4,12/04/23,14/04/23,16/04/23,31.48,In Transit,TRK151794010
213,308,16,13,09/11/24,15/11/24,21/11/24,46.89,Delivered,TRK594746795
214,310,10,19,23/02/24,26/02/24,27/02/24,37.79,Delivered,TRK578838828
215,312,24,13,24/09/23,27/09/23,,48.14,Delivered,TRK678088901
216,313,7,14,06/12/22,16/12/22,17/12/22,31.28,Delivered,TRK362712368
217,314,23,16,13/09/22,14/09/22,13/09/22,35.39,In Transit,TRK880194058
218,316,8,9,31/10/22,09/11/22,11/11/22,44.94,Delivered,TRK367975082
219,317,8,13,13/04/22,20/04/22,21/04/22,40.55,In Transit,TRK357745941
220,319,25,18,10/11/24,14/11/24,16/11/24,17.47,In Transit,TRK240186228
221,320,22,17,31/03/24,03/04/24,,36.26,Delivered,TRK855969005
222,322,13,2,10/03/22,11/03/22,,16.83,In Transit,TRK275602162
223,324,12,4,22/06/24,01/07/24,01/07/24,40.14,Delivered,TRK497991426
224,325,18,5,06/12/24,07/12/24,08/12/24,13.22,Delivered,TRK788764711
225,327,6,19,31/03/22,02/04/22,04/04/22,13.94,Delivered,TRK680452036
226,328,21,8,01/02/24,09/02/24,13/02/24,30.92,In Transit,TRK532957008
227,329,18,10,11/06/23,20/06/23,,27.55,Delivered,TRK786927338
228,330,20,20,18/12/23,21/12/23,21/12/23,43.94,Delivered,TRK172246697
229,331,17,3,23/03/23,24/03/23,,33.36,Delivered,TRK417352553
230,332,11,16,25/02/23,04/03/23,05/03/23,37.68,In Transit,TRK362799209
231,334,13,16,14/02/23,24/02/23,,16.71,Delivered,TRK439191408
232,338,8,13,06/02/23,09/02/23,16/02/23,28.78,In Transit,TRK119550624
233,341,22,3,25/09/22,28/09/22,28/09/22,33.59,Delivered,TRK943880218
234,343,25,5,02/05/22,09/05/22,10/05/22,31.45,Delivered,TRK559678627
235,344,8,10,26/08/22,02/09/22,03/09/22,35.56,Delivered,TRK391752820
236,345,17,9,17/01/22,19/01/22,21/01/22,5.69,Delivered,TRK525226675
237,346,18,2,27/09/24,29/09/24,,47.54,Delayed,TRK999375756
238,347,19,8,01/08/22,08/08/22,08/08/22,31.48,In Transit,TRK314862218
239,349,21,3,17/10/24,21/10/24,,29.17,Delivered,TRK345642686
240,351,7,11,09/04/22,10/04/22,10/04/22,23.99,Delivered,TRK449870289
241,352,10,19,24/09/23,25/09/23,,13.63,Delayed,TRK718354515
242,354,24,2,23/12/24,02/01/25,,28.47,Delivered,TRK521838260
243,355,25,3,15/06/23,17/06/23,,45.61,In Transit,TRK853517265
244,356,11,15,01/03/22,02/03/22,01/03/22,19.74,Delivered,TRK179626002
245,357,15,19,14/04/22,24/04/22,26/04/22,22.53,Delivered,TRK908092030
246,358,23,7,10/12/22,20/12/22,,47.28,Delivered,TRK177167563
247,359,4,9,15/12/24,19/12/24,18/12/24,45.47,Delivered,TRK622236334
248,361,23,11,20/11/24,28/11/24,27/11/24,17.92,In Transit,TRK693361204
249,363,14,20,17/12/22,27/12/22,29/12/22,45.07,In Transit,TRK880458609
250,365,12,2,26/01/23,04/02/23,,43.6,Delivered,TRK239258853
251,367,20,7,10/01/24,19/01/24,24/01/24,21.49,Delivered,TRK820104281
252,368,6,3,30/12/22,06/01/23,,17.24,In Transit,TRK796917484
253,369,5,17,10/09/24,14/09/24,,17.44,Delivered,TRK449851063
254,370,3,12,13/07/23,15/07/23,16/07/23,37.15,Delivered,TRK405775288
255,371,9,16,05/07/23,15/07/23,16/07/23,32.44,Delivered,TRK107929754
256,372,10,19,02/05/24,08/05/24,08/05/24,34.76,Delivered,TRK665879098
257,373,25,2,02/02/22,04/02/22,,23.35,Delivered,TRK846461006
258,374,18,19,26/05/24,05/06/24,,49.02,In Transit,TRK580393083
259,375,9,17,08/06/23,09/06/23,08/06/23,47.16,Delivered,TRK335792993
260,377,18,9,17/02/22,21/02/22,22/02/22,31.74,Delivered,TRK433823857
261,379,19,6,22/01/24,23/01/24,30/01/24,42.71,Delayed,TRK948396228
262,380,15,3,29/03/22,05/04/22,05/04/22,45.9,In Transit,TRK259053119
263,382,20,4,15/11/24,24/11/24,,15.5,In Transit,TRK915133596
264,384,17,14,28/08/22,06/09/22,07/09/22,13.43,In Transit,TRK822940048
265,385,22,16,21/01/24,22/01/24,,29.4,Delivered,TRK158393615
266,388,14,14,26/12/24,05/01/25,05/01/25,38.03,Delivered,TRK822508762
267,389,25,12,10/07/23,16/07/23,,34.5,Delivered,TRK376233524
268,390,22,10,24/12/24,29/12/24,28/12/24,31.41,In Transit,TRK467145988
269,391,18,9,05/11/23,11/11/23,10/11/23,47.46,Delivered,TRK732458351
270,392,14,20,02/08/23,12/08/23,,19.77,Delivered,TRK103004179
271,394,21,11,07/05/23,15/05/23,15/05/23,22.02,In Transit,TRK740313587
272,395,23,20,29/05/22,02/06/22,05/06/22,36.64,Delivered,TRK738511920
273,397,7,13,21/11/23,25/11/23,24/11/23,24.31,Delivered,TRK936438997
274,399,16,16,18/02/22,19/02/22,21/02/22,9.81,Delivered,TRK953397770
275,400,7,8,25/02/24,02/03/24,01/03/24,40.55,Delivered,TRK391297843
276,401,16,16,24/01/24,02/02/24,09/02/24,42.51,Delivered,TRK163297774
277,402,5,8,22/09/22,29/09/22,30/09/22,44.15,Delivered,TRK137739062
278,403,23,14,31/12/24,02/01/25,04/01/25,38.53,Delivered,TRK108321916
279,404,4,13,03/11/23,11/11/23,13/11/23,34.89,In Transit,TRK184905082
280,405,2,20,21/11/24,23/11/24,23/11/24,42.91,Delivered,TRK829200661
281,408,21,18,23/04/22,03/05/22,02/05/22,46.41,Delivered,TRK141826819
282,409,11,14,19/01/22,27/01/22,28/01/22,29.96,Delivered,TRK531924853
283,411,23,14,08/12/22,14/12/22,16/12/22,49.03,Delivered,TRK436259310
284,412,10,12,13/08/24,18/08/24,,11.82,Delivered,TRK465813216
285,413,3,10,26/05/24,31/05/24,02/06/24,11.47,Delivered,TRK311352584
286,414,18,10,08/09/24,12/09/24,,26.65,Delivered,TRK765857054
287,415,5,20,07/07/23,09/07/23,14/07/23,37.26,Delivered,TRK863779675
288,416,25,6,16/05/23,26/05/23,,34.74,Delivered,TRK758887361
289,418,19,13,26/11/22,05/12/22,07/12/22,32.97,Delivered,TRK211116406
290,419,20,18,21/03/22,31/03/22,30/03/22,27.31,Delivered,TRK940589268
291,420,10,1,25/09/23,05/10/23,05/10/23,24.14,Delivered,TRK357784370
292,425,5,18,22/12/24,29/12/24,31/12/24,42.72,Delivered,TRK322457559
293,427,17,7,18/04/24,28/04/24,,33.8,In Transit,TRK790357389
294,428,16,9,01/05/23,11/05/23,,35.21,Delayed,TRK469494690
295,430,19,12,27/10/24,31/10/24,31/10/24,48.07,Delivered,TRK124690644
296,431,14,6,30/11/24,09/12/24,11/12/24,45.54,In Transit,TRK916937044
297,432,19,7,20/06/23,26/06/23,27/06/23,17.21,In Transit,TRK367377753
298,433,22,10,05/02/23,12/02/23,13/02/23,13.82,Delivered,TRK648894870
299,435,16,20,31/03/23,08/04/23,10/04/23,17.66,Delayed,TRK713951858
300,436,8,19,15/11/23,18/11/23,,31.71,In Transit,TRK495336234
301,437,12,17,21/01/24,26/01/24,27/01/24,33.96,Delivered,TRK891164749
302,439,11,1,17/07/23,27/07/23,27/07/23,9.18,Delivered,TRK433165818
303,441,5,3,11/12/22,12/12/22,,43.15,Delivered,TRK752974433
304,443,10,8,05/04/23,10/04/23,12/04/23,48.49,Delivered,TRK181194039
305,444,22,18,13/05/23,23/05/23,27/05/23,34.25,Delayed,TRK653786448
306,446,1,6,22/12/24,26/12/24,28/12/24,35.74,In Transit,TRK762783441
307,447,11,19,23/02/22,05/03/22,07/03/22,28.71,Delivered,TRK287641467
308,448,8,3,10/12/24,17/12/24,18/12/24,31.23,Delivered,TRK268969669
309,449,2,9,06/03/22,14/03/22,,42.34,Delivered,TRK548758224
310,451,5,15,11/02/24,16/02/24,,8.06,In Transit,TRK642546050
311,453,23,1,26/06/22,03/07/22,02/07/22,6.59,In Transit,TRK999153116
312,454,17,9,27/04/22,01/05/22,01/05/22,27.41,In Transit,TRK717831179
313,455,10,13,23/02/23,28/02/23,,42.64,In Transit,TRK296134374
314,456,12,8,24/09/23,27/09/23,28/09/23,10.21,Delivered,TRK864717565
315,457,3,13,29/07/24,05/08/24,04/08/24,32.7,Delivered,TRK182418956
316,458,20,4,03/09/22,07/09/22,09/09/22,46.58,Delivered,TRK628132187
317,459,23,18,21/08/24,24/08/24,,41.31,Delivered,TRK662301755
318,460,4,6,07/01/24,17/01/24,18/01/24,15.07,Delivered,TRK472825161
319,461,4,7,22/01/23,26/01/23,25/01/23,34.6,Lost,TRK447428767
320,462,8,3,31/05/23,08/06/23,09/06/23,25.91,In Transit,TRK295894637
321,463,9,9,13/08/23,22/08/23,22/08/23,49.62,Delivered,TRK578224245
322,464,16,6,16/06/24,23/06/24,,41.02,In Transit,TRK834376885
323,465,3,3,06/05/22,13/05/22,13/05/22,5.71,Delivered,TRK563098921
324,471,16,7,18/03/23,25/03/23,,16.05,Delivered,TRK683730190
325,472,23,15,16/03/22,18/03/22,19/03/22,17.94,Delivered,TRK197567881
326,473,23,2,16/01/23,23/01/23,,36.04,Delivered,TRK394608831
327,475,8,2,27/08/22,01/09/22,31/08/22,24.29,Delivered,TRK423677732
328,476,11,17,28/03/24,02/04/24,04/04/24,30.18,Delivered,TRK909879567
329,478,5,20,19/05/23,28/05/23,27/05/23,17.73,Delivered,TRK936443955
330,479,12,20,23/08/23,01/09/23,03/09/23,22.66,Delivered,TRK215394117
331,482,13,18,27/08/22,05/09/22,,33.54,Delivered,TRK185561425
332,483,25,3,17/09/23,26/09/23,,36.1,In Transit,TRK366751394
333,484,6,17,20/12/24,24/12/24,24/12/24,5.14,Delivered,TRK946149846
334,485,5,9,30/04/24,07/05/24,08/05/24,18,Delivered,TRK778766609
335,486,21,13,16/03/22,25/03/22,25/03/22,17.11,In Transit,TRK219303169
336,487,7,1,08/06/24,11/06/24,16/06/24,43.41,Delayed,TRK182842911
337,489,10,13,12/12/24,13/12/24,14/12/24,44.28,In Transit,TRK824402080
338,490,25,6,23/08/22,01/09/22,03/09/22,20.31,Delivered,TRK944377653
339,491,12,3,25/08/22,28/08/22,,25.03,Delivered,TRK883230597
340,493,16,13,11/04/24,12/04/24,11/04/24,16.95,In Transit,TRK131222576
341,494,22,17,11/04/23,13/04/23,15/04/23,15.22,In Transit,TRK657735020
